program_name,invalid_award
Childhood Cancer Data Initiative,1R03CA256550-01
Childhood Cancer Data Initiative,1R21CA262994-01
Childhood Cancer Data Initiative,1R15CA263868-01
Childhood Cancer Data Initiative,3P30CA008748-55S3
Childhood Cancer Data Initiative,2U01CA199288-07
Childhood Cancer Data Initiative,1U01CA263981-02
Childhood Cancer Data Initiative,5U01CA199000-07
Childhood Cancer Data Initiative,3U01CA249245-01A1
Childhood Cancer Data Initiative,3U01CA248226-02
Childhood Cancer Data Initiative,3U24CA248010-02
Childhood Cancer Data Initiative,3R21CA258242-01
Childhood Cancer Data Initiative,3U54CA231637-01W1
Childhood Cancer Data Initiative,3U54CA231652-01W1
Childhood Cancer Data Initiative,3U10CA180899-09S2
Childhood Cancer Data Initiative,1R01CA266105-01
Childhood Cancer Data Initiative,5R21CA262994-02
Childhood Cancer Data Initiative,3K07CA211956-05W1
Childhood Cancer Data Initiative,600000
Childhood Cancer Data Initiative,PUR6794296*1
Childhood Cancer Data Initiative,PUR6794300*1
Childhood Cancer Data Initiative,PUR6807932*1
Childhood Cancer Data Initiative,1R03CA251976-01A1
Childhood Cancer Data Initiative,1R21CA263223-01A1
Childhood Cancer Data Initiative,1R21CA267914-01
Childhood Cancer Data Initiative,1R21CA259926-01A1
Childhood Cancer Data Initiative,1R21CA267515-01
Childhood Cancer Data Initiative,1R21CA267365-01
Childhood Cancer Data Initiative,1R01CA239701-01A1
Childhood Cancer Data Initiative,1R01CA241452-01A1
Childhood Cancer Data Initiative,1R01CA222518-01A1
Childhood Cancer Data Initiative,APC20005001-1-0-1
Childhood Cancer Data Initiative,PUR6456092*2
Childhood Cancer Data Initiative,1F32CA250155-01A1
Childhood Cancer Data Initiative,1U01CA269420-01
Childhood Cancer Data Initiative,75N91019D00024-0-759102100013-1
Childhood Cancer Data Initiative,1U01CA263967-02
Childhood Cancer Data Initiative,2U01CA199000-06
Childhood Cancer Data Initiative,2U01CA199221-07
Childhood Cancer Data Initiative,2U01CA199288-06
Childhood Cancer Data Initiative,1U01CA263981-01
Childhood Cancer Data Initiative,1R37CA255453-01A1
Childhood Cancer Data Initiative,1R01CA255643-01A1
Childhood Cancer Data Initiative,3U24HD090744-05S1
Childhood Cancer Data Initiative,75N91020F00035
Childhood Cancer Data Initiative,600.035.2
Childhood Cancer Data Initiative,1U01CA263969-01
Childhood Cancer Data Initiative,1U01CA263957-01
Childhood Cancer Data Initiative,PUR6159453*16159453ACO20029-001-00000
Childhood Cancer Data Initiative,PUR6512769*1
Childhood Cancer Data Initiative,276130
Childhood Cancer Data Initiative,1R01CA263500-01
Childhood Cancer Data Initiative,1R01CA255596-01A1
Childhood Cancer Data Initiative,1R01CA262012-01
Childhood Cancer Data Initiative,1R01CA262250-01
Childhood Cancer Data Initiative,1R01CA254892-01A1
Childhood Cancer Data Initiative,HHSN261201400004I/75N91020F00001
Childhood Cancer Data Initiative,75N91020F00003
Childhood Cancer Data Initiative,600.300.21.01
Childhood Cancer Data Initiative,3P30CA030199-42S1
Childhood Cancer Data Initiative,3P30CA036727-37S5
Childhood Cancer Data Initiative,3P30CA138292-14S2
Childhood Cancer Data Initiative,3P30CA014089-47S1
Childhood Cancer Data Initiative,3P30CA016520-47S3
Childhood Cancer Data Initiative,3P30CA021765-44S4
Childhood Cancer Data Initiative,3P30CA006516-58S4
Childhood Cancer Data Initiative,3P30CA034196-37S1
Research on Prostate Cancer in Men of African Ancestry,5U19CA214253
