program.program_id,api_source_search,queried_project_id,grant_id,earliest_fiscal_year
accsis,3,11,28,2018
acsr,1,1,8,2019
admiral,1,1,5,2020
alchemist,3,3,72,2000
amc,4,2,33,2010
approaches_to_identify_and_care_for_individuals_with_inherited_cancer_syndromes,2,6,11,2018
artnet,2,6,26,2022
betrnet,3,4,40,2011
bmt_ctn,1,1,9,2018
c3i,1,1,1,2019
cap_it,2,3,11,2022
cascade,4,13,50,2022
ccbir,1,4,19,2021
ccdi,108,80,135,2014
ccr,655,883,7242,2007
ccss,2,1,11,2017
cgci,2,2,2,2013
cibmtr_data_resource,3,1,15,2013
cidc,2,5,13,2017
cimac,2,4,16,2017
cirp,3,9,49,2017
collaborative_consortia_for_the_study_of_hiv_associated_cancers,1,3,17,2017
communication_and_decision_making_for_individuals_with_inherited_cancer_syndromes,2,6,28,2019
cp_ctnet,3,6,34,2019
cptac,4,15,69,2016
csbc,6,56,291,2016
csrn,3,9,27,2024
ctd_2,2,19,84,2017
cusp2ct,2,5,18,2022
dceg,111,173,1398,2007
edrn,7,32,192,2016
enicto,2,5,21,2022
etctn,6,32,305,2003
fusonc2,2,9,16,2018
gdan,4,24,122,2016
hamrcs,2,10,56,2020
htan,4,12,35,2018
imat,112,1042,2482,2000
impact,2,4,4,2018
improving_outcomes_for_pediatric_adolescent_and_young_adult_cancer_survivors,1,8,29,2019
iotn,8,29,89,2018
isc3,2,7,39,2019
itcr,26,143,430,2016
kshv,1,5,8,2024
metabolic_dysregulation_and_cancer_risk_program,2,6,27,2022
metnet,1,9,17,2023
omf,4,71,310,2015
optimizing_the_management_and_outcomes_for_cancer_survivors_transitioning_to_follow_up_care,1,5,27,2020
pache,5,46,236,2018
pacmen,2,6,19,2017
pcdc,2,6,19,2017
pdmc,1,10,52,2017
pdxnet,4,8,60,2017
pe_cgs,2,6,34,2020
pep_ctn,3,2,13,2009
pivot,3,10,66,2015
precinct,2,6,27,2022
prospr,2,4,24,2018
psrc,2,7,28,2022
qin,3,16,49,2018
respond,1,1,5,2019
sclc,5,21,107,2017
spore_brain_cancer_duke,1,1,11,2014
spore_brain_cancer_northwestern,1,1,8,2018
spore_brain_cancer_texas,1,1,19,2008
spore_brain_cancer_ucla,1,1,13,2017
spore_breast_cancer_baylor,1,1,12,2014
spore_breast_cancer_df_hcc,1,1,11,2013
spore_breast_cancer_mayo,1,1,22,2005
spore_breast_cancer_msk,1,1,6,2020
spore_breast_cancer_unc,1,1,34,2000
spore_breast_cancer_vanderbilt,1,1,28,2003
spore_cervical_cancer,1,1,27,2003
spore_endometrial_cancer,1,1,5,2023
spore_epigenetics,1,1,5,2021
spore_gastrointestinal,1,1,15,2007
spore_gastrointestinal_cancer_jhu,1,1,31,2000
spore_gastrointestinal_cancer_mda,1,1,5,2019
spore_head_and_neck_cancer_colorado,1,1,9,2021
spore_head_and_neck_cancer_pittsburg,1,1,31,2004
spore_head_and_neck_cancer_wisconsin,1,1,5,2016
spore_head_and_neck_cancer_yale,1,1,5,2020
spore_health_disparities_baylor,1,1,3,2021
spore_health_disparities_hawaii,1,1,3,2023
spore_health_disparities_wsu,1,1,3,2021
spore_hyperactive_ras,1,1,10,2015
spore_in_bladder_cancer,1,1,6,2018
spore_in_brain_cancer_ucsf,1,1,29,2002
spore_in_gastrointestinal_cancer_vanderbilt,1,1,8,2019
spore_in_hepatocellular_carcinoma,1,1,5,2019
spore_in_leukemia_msk,1,1,5,2021
spore_in_lung_cancer_fred_hutch,1,1,7,2019
spore_in_lung_cancer_yale,1,1,14,2015
spore_in_myeloid_malignancies,1,1,6,2017
spore_kidney_cancer,1,1,9,2016
spore_kidney_cancer_df_hcc,1,1,22,2003
spore_leiomyosarcoma,1,1,4,2022
spore_leukemia_texas,1,1,23,2003
spore_leukemia_wustl,1,1,19,2013
spore_liver_cancer,1,1,3,2021
spore_liver_mayo_clinic,1,1,12,2018
spore_lung_cancer_df_hcc,1,1,4,2022
spore_lung_cancer_emory,1,1,6,2019
spore_lung_cancer_texas,1,1,38,2000
spore_lymphoma,1,1,18,2004
spore_lymphoma_cancer_baylor,1,1,22,2007
spore_melanoma,1,1,7,2019
spore_myeloma_cancer_df_hcc,1,1,21,2003
spore_myeloma_cancer_mayo,1,1,10,2015
spore_ovarian_cancer_df_hcc,1,1,5,2020
spore_ovarian_cancer_jhu_upenn,1,1,7,2018
spore_ovarian_cancer_mayo,1,1,18,2009
spore_ovarian_cancer_pittsburgh,1,1,3,2023
spore_ovarian_cancer_roswell_chicago,1,1,15,2013
spore_ovarian_cancer_texas,1,1,6,2023
spore_pancreas_cancer_mskcc,1,1,5,2022
spore_pancreas_cancer_unc,1,1,7,2022
spore_pancreas_cancer_wustl,1,1,3,2023
spore_prostate_cancer_df_hcc,1,1,3,2023
spore_prostate_cancer_fred_hutch,1,1,27,2002
spore_prostate_cancer_michigan,1,1,14,2014
spore_prostate_cancer_mskcc,1,1,26,2001
spore_prostate_cancer_northwestern,1,1,10,2015
spore_prostate_cancer_ucla,1,1,21,2002
spore_prostate_cancer_wisconsin,1,1,3,2023
spore_radiation_therapy,1,1,3,2023
spore_sarcoma_cancer,1,1,8,2018
spore_skin_cancer_pittsburgh,1,1,5,2021
spore_skin_cancer_texas,1,1,5,2019
spore_skin_cancer_wistar,1,1,5,2021
spore_skin_cancer_yale,1,1,23,2006
spore_targeted_therapies_for_glioma,1,1,17,2013
sub_saharan_african_collaborative_hiv_and_cancer_consortia,1,8,51,2014
summit,2,4,4,2025
synbio,1,6,33,2021
tbel,2,6,26,2022
tec,2,20,76,2020
the_chernobyl_tissue_bank_coordinating_center,2,1,11,2012
tlc,4,8,45,2018
trace,4,4,17,2022
tracer,1,1,3,2021
trpcd,1,1,2,2024
