type,dataset_uuid,dataset_source_repo,dataset_title,description,dataset_source_id,dataset_source_url,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms,SRP_ERP_ID,PMID_Count,program_id,DROPPED_REASON
dataset,aa8307af-cc56-5621-ac4b-cdb3b4b7873a,SRA,Whole genome sequencing of (CEU) Utah residents with ancestry from Northern and Western Europe - CEPH - HapMap population,,SRP000547,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP000547,1000 Genomes Project,,DCEG,17727713,Z01CP010178,2011-11-30,,Other,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA33831,,,,SRP000547,1,dceg,Missing field: description
dataset,267cd278-0042-58b3-95a2-a7f74dac465f,SRA,Genome-wide DNA Methylation Maps in Follicular Lymphoma Cells,,SRP001736,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP001736,CGBIU,,CSSI,20927367,R33CA134304,2010-06-10,,Cancer Genomics,Genomic sequencing,Not Reported,,,,,,,SRP001736,1,imat,Missing field: description
dataset,1ef2c5d9-2cde-5014-9aef-61e0735633c1,SRA,Exome sequencing of (CEU) Utah residents with ancestry from Northern and Western Europe - CEPH - HapMap population,,SRP004078,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP004078,1000 Genomes Project,,DCEG,17727713,Z01CP010178,2013-02-15,,Exome Sequencing,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA59853,,,,SRP004078,1,dceg,Missing field: description
dataset,dc645d8d-da4a-5e55-9079-7b3525e16d71,SRA,CompleteGenomics sequencing of (CEU) Utah residents with ancestry from Northern and Western Europe - CEPH - HapMap population,,SRP016554,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP016554,Michael Kennemer,,DCEG,17511522; 17727713,Z01CP000150; Z01CP010178,2013-04-09,,Other,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA177916,,,,SRP016554,2,dceg,Missing field: description
dataset,40bccb8a-fc13-5c95-aded-3c5e5e624e60,SRA,Mongolian Metagenome,,SRP080787,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP080787,Jiachao Zhang,,CCR,34083435,ZIABC011090,2016-08-07,,Metagenomics,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA328899,,,,SRP080787,1,ccr,Missing field: description
dataset,6a8cb1cb-f20f-53ba-9ac1-212593e4e43f,SRA,Epigenetic signature of hepatocellular carcinoma and intrahepatic cholangiocarcinoma derived from oncogenically transformed murine hepatocytes,,SRP136997,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP136997,Pierre-Francois Roux,,CCR,30209397,ZIABC010876,2018-06-29,,Other,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA448566,,,,SRP136997,1,ccr,Missing field: description
dataset,2adf9b2b-a18e-50c4-903c-ca993a369697,SRA,IgG memory B cells expressing IL4R and FCER2 are associated with atopic diseases,,SRP405254,https://trace.ncbi.nlm.nih.gov/Traces/?study=SRP405254,EDGAR GONZALEZ-KOZLOVA,,CTEP;DCTD,36445014,U24CA224319,2022-12-12,,Other,Genomic sequencing,Not Reported,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA895837,,,,SRP405254,1,cimac,Missing field: description
