program_name,invalid_nofo,suggested_fix,comment
Partnerships to Advance Cancer Health Equity (PACHE),RFA-PAR-18-767,PAR-18-767,"Remove ""RFA-"""
Partnerships to Advance Cancer Health Equity (PACHE),RFA-PAR-22-249,PAR-22-249,"Remove ""RFA-"""
Partnerships to Advance Cancer Health Equity (PACHE),RFA-PAR-22-239,PAR-22-239,"Remove ""RFA-"""
Partnerships to Advance Cancer Health Equity (PACHE),RFA-PAR-18-911,PAR-18-911,"Remove ""RFA-"""
Partnerships to Advance Cancer Health Equity (PACHE),RFA-PAR-18-361,PAR-18-361,"Remove ""RFA-"""
All of Us,A17-446,PA17-446,"Add ""P"""
All of Us,PA18-91,PA18-91,No change
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-19-040,RFA-CA-19-040,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-20-009,RFA-CA-20-009,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-19-038,RFA-CA-19-038,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-20-007,RFA-CA-20-007,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-19-039,RFA-CA-19-039,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-20-008,RFA-CA-20-008,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-19-041,RFA-CA-19-041,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-20-010,RFA-CA-20-010,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-19-042,RFA-CA-19-042,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-20-060,RFA-CA-20-060,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-013,RFA-CA-21-013,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-014,RFA-CA-21-014,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-015,RFA-CA-21-015,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-016,RFA-CA-21-016,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-017,RFA-CA-21-017,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-018,RFA-CA-21-018,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-21-019,RFA-CA-21-019,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-22-023,RFA-CA-22-023,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-22-021,RFA-CA-22-021,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-22-022,RFA-CA-22-022,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-22-024,RFA-CA-22-024,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-23-014,RFA-CA-23-014,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-23-015,RFA-CA-23-015,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-23-016,RFA-CA-23-016,"Add ""CA-"""
ADVANCED DEVELOPMENT OF INFORMATICS TECHNOLOGIES FOR CANCER RESEARCH AND MANAGEMENT,RFA-23-017,RFA-CA-23-017,"Add ""CA-"""
Childhood Cancer Survivor Study,RFA-CA15-502,RFA-CA-15-502,"Add ""-"""
Clinical Proteomic Tumor Analysis Consortium,RFA-CA21-024,RFA-CA-21-024,"Add ""-"""
Clinical Proteomic Tumor Analysis Consortium,RFA-CA21-023,RFA-CA-21-023,"Add ""-"""
