accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs001287.v22.p7","CPTAC Proteogenomic Study","Recently, significant progress has been made in characterizing and sequencing the genomic alterations in statistically robust numbers of samples from several types of cancer. For example, The Cancer Genome Atlas  (TCGA), International Cancer Genome Consortium (ICGC) and other similar efforts are identifying genomic alterations associated with specific cancers","Not Applicable","Neoplasms","Case Set","Not Provided","Not Provided","3 phenotype datasets, 11 variables, 7239 subjects, 7239 samples","","NCI","GRU --- General Research Use","2025-11-17","2023-06-29","Lung Neoplasms; Sarcoma; Uterine Neoplasms; ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1); NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001801.v1.p1","Center for Cancer Genomics (CCG) Cancers of Unknown Primary Project    (CUPP)","The Cancers of Unknown Primary Project (CUPP) aims to characterize difficult tumor types with the goal of determining future best treatment practices. NCI will utilize whole exome sequencing, copy-number variation,  DNA methylation in conjunction with transcriptome sequencing to provide a comprehensive genomic landscape of Cancers of Unknown Primary (CUP).","Not Applicable","Neoplasms, Unknown Primary","Case Set","Not Provided","Not Provided","2 phenotype datasets, 4 variables, 791 subjects, 791 samples","","NCI","GRU --- General Research Use","2025-09-25","2025-09-25","Cancer - unknown origin; Cancer of Unknown Primary; Cancer of Unknown Primary Site; Malignant tumor - unknown primary; Malignant tumor of unknown origin; Metastasis - unknown primary",""
"phs002790.v9.p3","Childhood Cancer Data Initiative (CCDI): Molecular Characterization    Initiative","The National Cancer Institute's (NCI) Childhood Cancer Data Initiative (CCDI) focuses on the critical need to collect, analyze, and share data to address the burden of cancer in children, adolescents,  and young adults (AYAs). The Molecular Characterization Initiative (MCI) will further the CCDI's goals by providing access to better diagnostic tests","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","OTHER, RNA-Seq, WXS","2 phenotype datasets, 5 variables, 7356 samples sequenced, 5516 subjects, 15622 samples","","NCI","GRU --- General Research Use","2025-09-10","2022-11-03","Sarcoma; Blastoma; CA; CA - Cancer; Cancer; MT","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001952.v2.p1","National Cancer Institute (NCI) Early Onset Malignancies Initiative    (EOMI): Molecular profiling of Breast, Colon, Kidney, Liver, Multiple    Myeloma, and Prostate among Racially and Ethnically Diverse    Populations","The Early Onset Malignancies Initiative (EOMI) is focused on collecting specimens from racially and ethnically diverse population groups with six different types of cancer (breast, prostate, colon, liver, kidney, and  multiple myeloma). This initiative is a partnership between the Center for Research Strategy, the Center for Cancer Genomics and the Division","Not Applicable","Neoplasms","Case Set","Not Provided","Not Provided","2 phenotype datasets, 4 variables, 222 subjects, 222 samples","","NCI","GRU --- General Research Use","2025-08-08","2025-04-28","Kidney Neoplasms; Liver Neoplasms; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor",""
"phs003985.v1.p1","PE-CGS: Optimizing Engagement of Hispanic Colorectal Cancer Patients in    Cancer Genomic Characterization Studies","Colorectal Cancer (CRC) is the second leading cause of cancer death in the US. Hispanic/Latinos (H/L) are the largest and fasting growing ethnic group in the US, and cancer is  the leading cause of death among H/L in the US. Therefore, we need to fully understand the full complexity of the molecular etiology of cancer","Not Applicable","Colorectal Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 67 subjects, 201 samples","","NCI","GRU --- General Research Use","2025-07-14","2025-07-14","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs002883.v1.p1","Childhood Cancer Data Initiative (CCDI): NCI-COG Pediatric MATCH    Precision Medicine Clinical Trial","The National Cancer Institute-Children's Oncology Group (NCI-COG) Pediatric Molecular Analysis for Therapy Choice (MATCH) trial provides a framework for biomarker-driven early phase trials of targeted therapies in pediatric and young  adult cancer patients across the United States. Pediatric MATCH enrolled more than 1,300 patients with treatment-refractory cancers, offering access","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","2 phenotype datasets, 9 variables, 1239 subjects, 6219 samples","","NCI","GRU --- General Research Use","2025-06-27","2025-06-27","Sarcoma; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs003161.v1.p1","Childhood Cancer Data Initiative (CCDI): Pediatric In Vivo Testing    Program &#x02013; Sarcomas and other Solid Tumors","The primary goal of this project involves the comprehensive molecular profiling of patient-derived xenograft (PDX) mouse tumor models. Molecular profiling of each PDX model will include whole exome sequencing (WES),  RNAseq, MethylEPIC arrays, CytoSNP array, and DNA fingerprint for quality control. Limited clinical demographic data (e.g. diagnosis, disease site","Not Applicable","Heterografts","Xenograft","Not Provided","AMPLICON","2 phenotype datasets, 5 variables, 185 samples sequenced, 175 subjects, 883 samples","","NCI","GRU --- General Research Use","2025-04-25","2025-04-25","Desmoplastic Small Round Cell Tumor; Hepatoblastoma; Pleuropulmonary blastoma; Rhabdoid Tumor; Sarcoma; Synovial Sarcoma",""
"phs000892.v7.p1","Clinical Proteomic Tumor Analysis Consortium (CPTAC) Proteogenomic    Confirmatory Study of Breast, Colon, Lung, and Ovarian Tumors","Recently, significant progress has been made in characterizing and sequencing the genomic alterations in statistically robust numbers of samples from several types of cancer. For example, The Cancer Genome Atlas  (TCGA), International Cancer Genome Consortium (ICGC) and other similar efforts are identifying genomic alterations associated with specific cancers","Not Applicable","Neoplasms","Case Set","Not Provided","RNA-Seq, WXS, miRNA-Seq","6 phenotype datasets, 284 variables, 1044 samples sequenced,  SRA, 348 subjects, 1087 samples","European (94), East Asian (24), African American (9), Hispanic1 (3), Hispanic2 (6), Other Asian or Pacific Islander (1), Other (1)","NCI","GRU --- General Research Use","2025-04-16","2017-01-22","Carcinoma, Ductal, Breast; Carcinoma, Lobular; Lung Neoplasms; ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung",""
"phs002504.v3.p2","UCSF Database for the Advancement of JMML - Integration of Metadata with    Omic Data","Juvenile myelomonocytic leukemia (JMML) is a rare and frequently fatal myeloproliferative/myelodysplastic disorder of early childhood with an estimated incidence of 1.2 cases per million. It is associated with a spectrum  of diverse outcomes ranging from spontaneous resolution in rare patients to transformation to acute myeloid leukemia in others. The overwhelming","Not Applicable","Leukemia, Myelomonocytic, Juvenile","Collection","Not Provided","AMPLICON, Bisulfite-Seq, RNA-Seq, WGA, WXS","2 phenotype datasets, 5 variables, 283 samples sequenced, 220 subjects, 438 samples","","NCI","GRU --- General Research Use","2025-04-10","2022-08-05","Neurofibromatosis 1; JCML; JCML - Juvenile chronic myeloid leukemia; JMML; Juvenile Chronic Myelogenous Leukemia; Juvenile Myelomonocytic Leukemias",""
"phs002529.v2.p1","Childhood Cancer Data Initiative (CCDI): Comprehensive Genomic Sequencing    of Pediatric Cancer Cases (CMRI/KUCC)","This study provides paired tumor normal genomic sequencing data from 200 children with cancer, including both solid tumors and leukemias, done by the Children's Mercy Research Institute (CMRI) and University  of Kansas Cancer Center (KUCC). These data include whole genome sequencing (generally, 20x), whole exome sequencing (generally, 300x), bulk RNA","Not Applicable","Whole Genome Sequencing","Tumor vs. Matched-Normal","Not Provided","ATAC-seq, RNA-Seq, WGS, WXS","2 phenotype datasets, 5 variables, 372 samples sequenced, 200 subjects, 392 samples","","NCI","DS-CA --- Disease-Specific (Cancer)","2025-04-04","2023-02-28","Blood (Leukemia); Blood cancer; Leucocythaemia; Leucocythaemias; Leucocythemia; Leucocythemias","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001709.v2.p2","Count Me In (CMI): The Metastatic Breast Cancer (MBC) Project    (CMI-MBCproject)","Count Me In - The Metastatic Breast Cancer Project: A Patient-Driven Research Initiative to Accelerate Metastatic Breast Cancer Research The Metastatic Breast Cancer Project is a research study that directly  engages patients with metastatic breast cancer via social media and advocacy groups and empowers them to accelerate cancer research by sharing","Not Applicable","Breast Neoplasms","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, WXS","4 phenotype datasets, 11 variables, 1275 samples sequenced, 549 subjects, 1275 samples","","NCI","GRU --- General Research Use","2025-02-21","2019-10-04","Neoplasm Metastasis; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003163.v1.p1","Childhood Cancer Data Initiative (CCDI): Pediatric In Vivo Testing    Program - Neuroblastoma","The goal of NCI's Pediatric In Vivo Testing Consortium (PIVOT) is to advance the development of effective treatments for pediatric cancers through preclinical in vivo testing of novel therapeutic agents.  To design impactful experiments that can be rapidly translated to the clinic, PIVOT investigators require comprehensive genomic characterization","Not Applicable","Neuroblastoma","Xenograft","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 36 subjects, 250 samples","","NCI","GRU --- General Research Use","2025-02-19","2025-02-19","Not Provided",""
"phs003164.v2.p1","Childhood Cancer Data Initiative (CCDI): CCDI Pediatric In Vivo Testing    Program - Leukemia","The goal of this study is to molecularly characterize a large panel of pediatric acute lymphoblastic leukemia (ALL) patient-derived xenografts (PDXs) previously established in immune-deficient mice. These PDXs are utilized  as part of the NCI-funded Pediatric Preclinical In vivo Testing (PIVOT) program to identify novel agents and combinations. Biospecimen data include","Not Applicable","Pediatrics","Xenograft","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 40 subjects, 158 samples","","NCI","GRU --- General Research Use","2025-02-07","2024-05-21","Leukemia, Biphenotypic, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Acute Biphenotypic Leukemia; Acute Biphenotypic Leukemias; Acute Leukemia, Biphenotypic; Acute Leukemia, Hybrid","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
