accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs001486.v5.p4","NCI Cancer Model Development for the Human Cancer Model Initiative (HCMI)","The Cancer Model Development Center (CMDC) project is part of the Human Cancer Model Initiative (HCMI) and is managed by the Office of Cancer Genomics within the Center for Cancer  Genomics at the National Cancer Institute (NCI). The goal of the HCMI is to generate approximately 1000 novel human ""next generation"" tumor-derived","Not Applicable","Neoplasms","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 1153 subjects, 1153 samples","","NCI","GRU --- General Research Use","2024-10-18","2019-02-07","Esophageal Neoplasms; Liver Neoplasms; Lung Neoplasms; Neoplasms, Germ Cell and Embryonal; Sarcoma, Ewing; Breast Cancer","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs002517.v4.p2","Childhood Cancer Data Initiative (CCDI): Molecular Characterization    across Pediatric Brain Tumors and Other Solid and Hematologic    Malignancies for Research, Diagnostic, and Precision Medicine","This study contains tumor and germline WGS, RNA-Seq, Clinical Panel Sequencing, and other omics and molecular data for patients with pediatric brain tumors and other solid and hematologic malignancies. This  data has been collected from multiple organizations including the multi-institute Children's Brain Tumor Network (CBTN), the Pacific Pediatric","Not Applicable","Brain Neoplasms","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 5 variables, 8455 samples sequenced, 3960 subjects, 9082 samples","","NCI","GRU --- General Research Use","2024-10-07","2023-05-12","Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain; Neoplasm of the Brain","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001134.v3.p1","Radiation-Related Genomic Profile of Papillary Thyroid Cancer after the    Chernobyl Accident","The April 26, 1986 accident at the Chernobyl nuclear power plant in northern Ukraine resulted in the release of radioactive contaminants, which were deposited in the surrounding areas in Ukraine,  Belarus, and Russia. The main radiation-related health effect resulting from these exposures is the increased occurrence of thyroid cancer among","Not Applicable","Thyroid Cancer, Papillary","Case Set","HumanOmniExpress-24, MethylationEPIC","Methylation (CpG), SNP Genotypes (Array)","5 phenotype datasets, 23 variables, 3 molecular datasets, 440 subjects, 4661 samples","","NCI","GRU --- General Research Use","2024-09-20","2024-09-20","Neoplasms, Radiation-Induced; Neoplasm, Radiation-Induced; Neoplasms, Radiation Induced; Radiation Induced Neoplasm; Radiation Induced Neoplasms; Radiation-Induced Neoplasm","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003488.v1.p1","APOLLO-OV: Applied Proteogenomics of High Grade Serous Ovarian Carcinoma","APOLLO is a proteogenomic study seeking to describe the major genome, transcriptome, proteome and phosphoproteome alterations, subtypes, and molecular predictors of patient outcomes. This study includes 70 high grade serous  ovarian carcinoma tissues from the Gynecologic Cancer Center of Excellence","Not Applicable","Ovarian Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","3 phenotype datasets, 13 variables, 70 subjects, 70 samples","","NCI","GRU --- General Research Use","2024-08-09","2024-08-09","Neoplasm of Ovary; Neoplasm of the Ovary; Neoplasm of the ovaries; Neoplasm, Ovarian; Neoplasm, Ovary; Neoplasms, Ovarian",""
"phs003519.v1.p1","Childhood Cancer Data Initiative (CCDI): Single-Cell Atlas of NF1 Nerve    Sheath Tumors","The worst outcome of NF1 is the development of the aggressive and highly metastatic malignant peripheral nerve sheath tumors (MPNST), which transform from benign plexiform neurofibroma (PN) and lack effective  treatment. In this study, we performed single-cell RNA sequencing of 63 clinically annotated NF1-associated peripheral nerve sheath tumors, including","Not Applicable","Rare Diseases","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 29 subjects, 55 samples","","NCI","GRU --- General Research Use","2024-07-22","2024-07-22","Neurofibromatosis 1; Rare Disease; Blastoma; CA; CA - Cancer; Cancer","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs002180.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Z1B","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 384 variables, 29 subjects, 29 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002177.v1.p1","Genomic Characterization CS-MATCH-0007 Arm C1","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 316 variables, 11 subjects, 11 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002152.v1.p1","Genomic Characterization CS-MATCH-0007 Arm P","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 297 variables, 28 subjects, 28 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs001657.v3.p1","Functional Genomic Landscape of Acute Myeloid Leukemia","The implementation of targeted therapies for acute myeloid leukemia has been challenged by complex mutational patterns within and across patients as well as a dearth of pharmacologic agents for most  mutational events. The initial findings from the Beat AML program were from a cohort of 672 tumor specimens collected from 562 patients. Additional","Not Applicable","Leukemia, Myeloid, Acute","Prospective Longitudinal Cohort","Not Provided","RNA-Seq","3 phenotype datasets, 9 variables, 72 samples sequenced, 829 subjects, 2161 samples","","NCI","DS-LEU --- Disease-Specific (Leukemia)","2024-05-02","2019-08-26","AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL",""
"phs002431.v1.p1","Childhood Cancer Data Initiative (CCDI): Enhancement of Data Sharing in    Pediatric, Adolescent and Young Adult Cancers","NCI's Childhood Cancer Data Initiative (CCDI) is building a community centered around childhood cancer care and research data. Through enhanced data sharing, we can improve our understanding of cancer biology  to improve preventive measures, treatment, quality of life, and survivorship, as well as ensure that researchers learn from every child with cancer.","Not Applicable","Neoplasms","Clinical Genetic Testing","Not Provided","Not Provided","2 phenotype datasets, 7 variables, 611 subjects, 1448 samples","","NCI","HMB --- Health/Medical/Biomedical","2024-04-23","2024-04-23","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs002677.v1.p1","Childhood Cancer Data Initiative (CCDI): Integrating Longitudinal    Clinical, Sociodemographic and Genomic Data into the NCCR","The goal of this study is to contribute clinical and genomic data from a large institutional cohort of pediatric cancer patients who had tumor genomic profiling between 2013 and 2019  at Dana-Farber/Boston Children's Hospital Cancer and Blood Disorders Center. Clinical data include demographics, diagnosis (classified according","Not Applicable","Pediatrics","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 835 subjects, 835 samples","","NCI","HMB --- Health/Medical/Biomedical","2024-04-16","2024-04-16","Rare Diseases; Sarcoma, Ewing; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs002178.v1.p1","Genomic Characterization CS-MATCH-0007 Arm S2","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 252 variables, 3 subjects, 3 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-01-08","2024-01-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002153.v1.p1","Genomic Characterization CS-MATCH-0007 Arm S1","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 277 variables, 41 subjects, 41 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-01-08","2024-01-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002058.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Z1I","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 413 variables, 26 subjects, 26 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-01-08","2024-01-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002029.v1.p1","Genomic Characterization CS-MATCH-0007 Arm R","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 374 variables,  SRA, 28 subjects, 28 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-01-08","2024-01-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002430.v1.p1","Childhood Cancer Data Initiative (CCDI): Genomic Analysis in Pediatric    Malignancies","Pediatric solid tumors are highly heterogeneous, encompassing a large number of histotypes. The genomic landscape of these diseases is characterized by few single-nucleotide variants (SNVs) compared to adult cancers. In  contrast, many exhibit a high prevalence of structural or epigenetic changes that alter gene expression, underlining the need for comprehensive","Not Applicable","Pediatrics","Collection","Not Provided","Not Provided","2 phenotype datasets, 7 variables, 239 subjects, 500 samples","","NCI","GRU --- General Research Use","2023-12-27","2023-12-27","Rare Disease; Blastoma; CA; CA - Cancer; Cancer; MT","NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs003143.v1.p1","My Pediatric and Adult Rare Tumor (MyPART) Natural History Study of Rare    Solid Tumors","The goal of this study is to comprehensively and longitudinally evaluate the natural history of patients with rare solid tumors or tumor predisposition syndromes, estimating and defining their clinical spectrum  (e.g. disease course and survival). Clinical data, patient reported outcomes (PROs), and biospecimen associated data are collected. Clinical data","Not Applicable","Rare Diseases","Prospective Longitudinal Cohort","WES_markerset_grc38","SNP/CNV Genotypes (NGS)","18 phenotype datasets, 744 variables, 10 documents, 1 molecular datasets, 497 subjects, 192 samples","","NCI","GRU --- General Research Use","2023-11-03","2023-11-03","Carcinoma, Neuroendocrine; Chordoma; ACC; Adenoid Cystic Carcinoma; Adrenal Cortex Adenocarcinoma; Adrenal Cortex Cancer","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs002097.v1.p1","Refractory Cancer (RC) Program","The Refractory Cancer (RC) Program will investigate the underlying genomic hallmarks involved in the observed inferior response to treatment of certain tumor types. Comprehensive genomic characterization will be performed utilizing  the NCI CCG Genome Characterization Pipeline. Subsequent genomic data will be hosted at the NCI Genomic Data Commons (GDC","Not Applicable","Neoplasms","Case Set","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 278 subjects, 278 samples, 3 substudies","","NCI","GRU --- General Research Use","2023-09-26","2023-09-26","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002851.v1.p1","Refractory Cancer (RC) Burkitt's Lymphoma (BL)","The Refractory Cancer (RC) Burkitt's Lymphoma (BL) study will investigate the underlying genomic hallmarks involved in the observed inferior response to treatment of certain Burkitt Lymphoma patients. The study will  utilize a network of sites in the US to obtain the samples and clinical data. Comprehensive genomic characterization will be performed utilizing","Refractory Cancer (RC) Program (phs002097.v1.p1)","Burkitt Lymphoma","Case Set","Not Provided","Not Provided","20 samples","","NCI","GRU --- General Research Use","2023-09-26","2023-09-26","BL; BL - Burkitt's lymphoma; Burkitt Tumor; Burkitt lymphoma/leukemia; Burkitt's Lymphoma; Burkitt's Tumor",""
"phs002247.v1.p1","Refractory Cancer - Peripheral T-Cell Lymphoma (RC-PTCL)","The Peripheral T-Cell Lymphoma (PTCL) study will investigate the underlying genomic hallmarks involved in the observed inferior response to treatment of certain PTCL patients. The study will utilize a network  of sites in the US and Asia to accrue up to 500 cases per tumor type. Comprehensive genomic characterization will be performed utilizing the NCI CCG","Refractory Cancer (RC) Program (phs002097.v1.p1)","Lymphoma, T-Cell, Peripheral","Case Set","Not Provided","Not Provided","168 samples","","NCI","GRU --- General Research Use","2023-09-26","2023-09-26","",""
"phs002098.v1.p1","Refractory Cancers (RC) HOPE-CARE","For the HOPE-CARE project, NCI will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify recurrent genetic alterations (mutations, deletions, amplifications, rearrangements)  and/or gene expression signatures that would be important to the hypothesis(es) submitted by the investigators. The samples will be processed","Refractory Cancer (RC) Program (phs002097.v1.p1)","Glioma","Case Set","Not Provided","Not Provided","90 samples","","NCI","GRU --- General Research Use","2023-09-26","2023-09-26","Glial Cell Tumor; Glial Cell Tumors; Glial Neoplasm; Glial Tumor; Neoplasm of Neuroglia; Neoplasm of the Neuroglia",""
"phs002181.v1.p1","Genomic Characterization CS-MATCH-0007 Arm I","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 439 variables, 60 subjects, 60 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-09-25","2023-09-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002179.v1.p1","Genomic Characterization CS-MATCH-0007 Arm U","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 296 variables, 23 subjects, 23 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-09-25","2023-09-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs001973.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Z1A","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 465 variables,  SRA, 45 subjects, 45 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-09-25","2023-09-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs001948.v1.p1","Genomic Characterization CS-MATCH-0007 Arm W","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 368 variables,  SRA, 45 subjects, 45 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-09-25","2023-09-25","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
