SRP_ERP_ID,PMIDs,PMID_Count,study_title,study_description,organism,study_type,platform,run_count,total_size,study_publication_date
SRP034857,24270360,1,,,,,,,,
SRP035257,25772072,1,,,,,,,,
SRP035411,24667544,1,,,,,,,,
SRP035965,27346580,1,,,,,,,,
SRP036848,24713434,1,,,,,,,,
SRP036859,24535671,1,,,,,,,,
SRP037572,25051172,1,,,,,,,,
SRP038083,24676094,1,,,,,,,,
SRP038105,25270879,1,,,,,,,,
SRP040032,25535918,1,,,,,,,,
SRP040083,24856586,1,,,,,,,,
SRP040133,24553142,1,,,,,,,,
SRP040524,24711395; 25170028,2,,,,,,,,
SRP040553,24954536,1,,,,,,,,
SRP040649,26457646,1,,,,,,,,
SRP040680,27457071,1,,,,,,,,
SRP041242,25359189,1,,,,,,,,
SRP041515,25079327,1,,,,,,,,
SRP041682,25307058,1,,,,,,,,
SRP041765,24857666,1,,,,,,,,
SRP041766,25170028,1,,,,,,,,
SRP042049,29078418,1,,,,,,,,
SRP042052,29078418,1,,,,,,,,
SRP042161,24925914,1,,,,,,,,
SRP042184,24974848,1,,,,,,,,
SRP042623,24975946,1,,,,,,,,
SRP042648,25211228,1,,,,,,,,
SRP043275,24947819,1,,,,,,,,
SRP043276,24947819,1,,,,,,,,
SRP043297,26420038,1,,,,,,,,
SRP043691,28445736,1,,,,,,,,
SRP043961,26307088,1,,,,,,,,
SRP043992,28344039,1,,,,,,,,
SRP043996,29581250,1,,,,,,,,
SRP044044,25126093,1,,,,,,,,
SRP044240,27457071,1,,,,,,,,
SRP044382,25401693,1,,,,,,,,
SRP044615,25759025,1,,,,,,,,
SRP044616,31395741,1,,,,,,,,
SRP045109,26492917,1,,,,,,,,
SRP045379,25416277,1,,,,,,,,
SRP045831,25822367,1,,,,,,,,
SRP045832,25936916,1,,,,,,,,
SRP045873,25818646,1,,,,,,,,
SRP046314,25267614,1,,,,,,,,
SRP046751,26411689,1,,,,,,,,
SRP048222,26605532,1,,,,,,,,
SRP048517,25373146,1,,,,,,,,
SRP048579,27300438,1,,,,,,,,
SRP048580,27300438,1,,,,,,,,
SRP048581,25987481,1,,,,,,,,
SRP048669,26168401,1,,,,,,,,
SRP048681,25976475,1,,,,,,,,
SRP048744,26659056,1,,,,,,,,
SRP048945,25936916,1,,,,,,,,
SRP048946,25299156,1,,,,,,,,
SRP049189,25488664,1,,,,,,,,
SRP049335,25428507,1,,,,,,,,
SRP049389,25942495,1,,,,,,,,
SRP049391,25942495,1,,,,,,,,
SRP049416,25936916,1,,,,,,,,
SRP049465,26516633,1,,,,,,,,
SRP049468,25705119,1,,,,,,,,
SRP049696,25855289,1,,,,,,,,
SRP049768,26787899,1,,,,,,,,
SRP049779,25130491,1,,,,,,,,
SRP049781,25772072,1,,,,,,,,
SRP049808,26735014,1,,,,,,,,
SRP049949,25619765,1,,,,,,,,
SRP049959,25557080,1,,,,,,,,
SRP050192,26735014,1,,,,,,,,
SRP050193,26735014,1,,,,,,,,
SRP050272,25512507,1,,,,,,,,
SRP050497,30548288,1,,,,,,,,
SRP051023,27799565,1,,,,,,,,
SRP051045,26420038,1,,,,,,,,
SRP051102,26253700,1,,,,,,,,
SRP051853,26838501,1,,,,,,,,
SRP052307,34083435,1,,,,,,,,
SRP052627,24893890,1,,,,,,,,
SRP052748,26406377,1,,,,,,,,
SRP052844,27587583,1,,,,,,,,
SRP053047,26214128,1,,,,,,,,
SRP053057,25788983,1,,,,,,,,
SRP053234,26560027,1,,,,,,,,
SRP053235,25772357,1,,,,,,,,
SRP054971,26687005; 26900662,2,,,,,,,,
SRP054975,26400169,1,,,,,,,,
SRP055387,27461342,1,,,,,,,,
SRP055388,27708074,1,,,,,,,,
SRP055390,27461342,1,,,,,,,,
SRP055442,27899379,1,,,,,,,,
SRP055508,26366234,1,,,,,,,,
SRP055512,31907974,1,,,,,,,,
SRP055555,28938092,1,,,,,,,,
SRP056085,25965570,1,,,,,,,,
SRP056121,25772072,1,,,,,,,,
SRP056425,28138513,1,,,,,,,,
SRP056480,34083435,1,,,,,,,,
SRP056484,28138513,1,,,,,,,,
SRP056712,26231117,1,,,,,,,,
SRP056987,26640144,1,,,,,,,,
SRP057150,29615789,1,,,,,,,,
SRP057152,29615789,1,,,,,,,,
SRP057270,26838806,1,,,,,,,,
SRP057510,25804953,1,,,,,,,,
SRP057530,27924004,1,,,,,,,,
SRP057531,29078418,1,,,,,,,,
SRP057533,29078418,1,,,,,,,,
SRP058093,26051933,1,,,,,,,,
SRP058107,26202458,1,,,,,,,,
SRP058323,30548288,1,,,,,,,,
SRP058498,26751772,1,,,,,,,,
SRP058652,27064447,1,,,,,,,,
SRP058871,27452466,1,,,,,,,,
SRP058872,27452466,1,,,,,,,,
SRP059191,27181204,1,,,,,,,,
SRP059227,26686465,1,,,,,,,,
SRP059231,26686465,1,,,,,,,,
SRP059279,26686465,1,,,,,,,,
SRP059511,27276681,1,,,,,,,,
SRP059701,26457646,1,,,,,,,,
SRP059790,26233891,1,,,,,,,,
SRP060524,27806376,1,,,,,,,,
SRP060671,26328764,1,,,,,,,,
SRP060708,28701475,1,,,,,,,,
SRP061571,29196464; 31940494,2,,,,,,,,
SRP061614,26952838,1,,,,,,,,
SRP061775,27941798,1,,,,,,,,
SRP061776,27941798,1,,,,,,,,
SRP061778,27941798,1,,,,,,,,
SRP061779,27941798,1,,,,,,,,
SRP061856,27159561,1,,,,,,,,
SRP062014,27212235,1,,,,,,,,
SRP062369,26549684,1,,,,,,,,
SRP062392,27124452,1,,,,,,,,
SRP062557,27428748,1,,,,,,,,
SRP062628,26252449,1,,,,,,,,
SRP062678,27062924,1,,,,,,,,
SRP062679,27062924,1,,,,,,,,
SRP063834,26437858,1,,,,,,,,
SRP063892,26644347,1,,,,,,,,
SRP064126,26807845,1,,,,,,,,
SRP064258,28264810,1,,,,,,,,
SRP064317,26766590,1,,,,,,,,
SRP064319,27708074,1,,,,,,,,
SRP064343,27708074,1,,,,,,,,
SRP064352,26766590,1,,,,,,,,
SRP064353,29093439,1,,,,,,,,
SRP064661,26901407,1,,,,,,,,
SRP064747,27879268,1,,,,,,,,
SRP064785,28591577,1,,,,,,,,
SRP064832,27879268,1,,,,,,,,
SRP064956,26167768,1,,,,,,,,
SRP064972,26638175,1,,,,,,,,
SRP065189,27879268,1,,,,,,,,
SRP065191,29334376,1,,,,,,,,
SRP065220,27879268,1,,,,,,,,
SRP065359,27879268,1,,,,,,,,
SRP065486,33230299,1,,,,,,,,
SRP065488,33230299,1,,,,,,,,
SRP065489,33230299,1,,,,,,,,
SRP065491,26853473,1,,,,,,,,
SRP065867,26631744,1,,,,,,,,
SRP065988,26711177,1,,,,,,,,
SRP066051,27879268,1,,,,,,,,
SRP066468,26890492,1,,,,,,,,
SRP066479,34083435,1,,,,,,,,
SRP066504,28912502,1,,,,,,,,
SRP066629,27791031,1,,,,,,,,
SRP066798,28912502,1,,,,,,,,
SRP066799,28912502,1,,,,,,,,
SRP066824,26658110,1,,,,,,,,
SRP066895,34108682,1,,,,,,,,
SRP066956,37407818,1,,,,,,,,
SRP067174,29997117,1,,,,,,,,
SRP067508,26942678,1,,,,,,,,
SRP067566,27846392,1,,,,,,,,
SRP067600,27284738,1,,,,,,,,
SRP067752,27178326,1,,,,,,,,
SRP067963,29078418,1,,,,,,,,
SRP068012,27150361,1,,,,,,,,
SRP068557,26925584,1,,,,,,,,
SRP068591,27026680,1,,,,,,,,
SRP068693,28199302,1,,,,,,,,
SRP069018,26925584,1,,,,,,,,
SRP069101,28018973,1,,,,,,,,
SRP069235,26973881,1,,,,,,,,
SRP069723,27050099,1,,,,,,,,
SRP069843,29581250,1,,,,,,,,
SRP070153,27063598,1,,,,,,,,
SRP070564,27879268,1,,,,,,,,
SRP070567,27879268,1,,,,,,,,
SRP070693,29785014,1,,,,,,,,
SRP070706,28805822,1,,,,,,,,
SRP070840,28178529,1,,,,,,,,
SRP070963,27570066,1,,,,,,,,
SRP071331,28046107,1,,,,,,,,
SRP071334,28046107,1,,,,,,,,
SRP071758,28533227,1,,,,,,,,
SRP071811,28877474,1,,,,,,,,
SRP071950,27815387,1,,,,,,,,
SRP072168,26993806,1,,,,,,,,
SRP072172,27827819,1,,,,,,,,
SRP072176,27765027,1,,,,,,,,
SRP072180,26007661,1,,,,,,,,
SRP072187,27180906,1,,,,,,,,
SRP072188,27180906,1,,,,,,,,
SRP072302,28813674,1,,,,,,,,
SRP072321,28813674,1,,,,,,,,
SRP072323,28813674,1,,,,,,,,
SRP072370,27152024,1,,,,,,,,
SRP072561,34083435,1,,,,,,,,
SRP072804,31142587,1,,,,,,,,
SRP072838,27841882,1,,,,,,,,
SRP072917,27132940,1,,,,,,,,
SRP072918,27132940,1,,,,,,,,
SRP073253,27595394,1,,,,,,,,
SRP073323,27272143,1,,,,,,,,
SRP073333,29360641,1,,,,,,,,
SRP073337,29360641,1,,,,,,,,
SRP073451,27168766; 27924004,2,,,,,,,,
SRP073667,29202474,1,,,,,,,,
SRP073675,27189161,1,,,,,,,,
SRP073739,29360641,1,,,,,,,,
SRP073740,29360641,1,,,,,,,,
SRP073742,27292631,1,,,,,,,,
SRP073743,27292631,1,,,,,,,,
SRP073744,27292631,1,,,,,,,,
SRP073902,30590042,1,,,,,,,,
SRP074069,27270588,1,,,,,,,,
SRP074070,27300438,1,,,,,,,,
SRP074071,27300438,1,,,,,,,,
SRP074072,27300438,1,,,,,,,,
SRP074110,26259033,1,,,,,,,,
SRP074260,34535664,1,,,,,,,,
SRP074429,30306128,1,,,,,,,,
SRP074430,27924004,1,,,,,,,,
SRP074595,27259716,1,,,,,,,,
SRP074862,27429906,1,,,,,,,,
SRP074891,27346356,1,,,,,,,,
SRP075249,30909651,1,,,,,,,,
SRP075283,29183988,1,,,,,,,,
SRP075406,28073004,1,,,,,,,,
SRP075583,27248322,1,,,,,,,,
SRP075657,27386949,1,,,,,,,,
SRP075797,27457071,1,,,,,,,,
SRP075880,28177281,1,,,,,,,,
SRP075882,30232459,1,,,,,,,,
SRP075985,29706548,1,,,,,,,,
SRP076235,28446242,1,,,,,,,,
SRP076484,28429718,1,,,,,,,,
SRP076610,28648363,1,,,,,,,,
SRP076988,28614298,1,,,,,,,,
SRP076990,28614298,1,,,,,,,,
SRP076991,28614298,1,,,,,,,,
SRP077006,28669490,1,,,,,,,,
SRP077007,28669490,1,,,,,,,,
SRP077058,30446643,1,,,,,,,,
SRP077068,28669490,1,,,,,,,,
SRP077076,27231203,1,,,,,,,,
SRP077228,28446439; 32744500,2,,,,,,,,
SRP077229,28446439; 32744500,2,,,,,,,,
SRP077230,28446439; 32744500,2,,,,,,,,
SRP077231,28446439; 32744500; 34836971,3,,,,,,,,
SRP077514,34083435,1,,,,,,,,
SRP078050,27841882,1,,,,,,,,
SRP078495,29510988,1,,,,,,,,
SRP078597,27846392,1,,,,,,,,
SRP078982,28383660,1,,,,,,,,
SRP078993,27846392,1,,,,,,,,
SRP079058,29091775,1,,,,,,,,
SRP079257,28837809,1,,,,,,,,
SRP079700,29231167,1,,,,,,,,
SRP079701,29231167,1,,,,,,,,
SRP079968,29088702,1,,,,,,,,
SRP080761,37261974,1,,,,,,,,
SRP080762,37261974,1,,,,,,,,
SRP080787,34083435,1,,,,,,,,
SRP080803,36369237,1,,,,,,,,
SRP080850,37805627,1,,,,,,,,
SRP080853,37805627,1,,,,,,,,
SRP080881,29973406,1,,,,,,,,
SRP080882,29973406,1,,,,,,,,
SRP081223,29202477,1,,,,,,,,
SRP081225,29202477,1,,,,,,,,
SRP081444,28575659,1,,,,,,,,
SRP081514,29153843,1,,,,,,,,
SRP081515,29153843,1,,,,,,,,
SRP081517,29153843,1,,,,,,,,
SRP081644,27670648,1,,,,,,,,
SRP082367,28965767,1,,,,,,,,
SRP082573,27610572,1,,,,,,,,
SRP082576,27610572,1,,,,,,,,
SRP082755,27610572,1,,,,,,,,
SRP082756,27610572,1,,,,,,,,
SRP082757,27610572,1,,,,,,,,
SRP082958,27610572,1,,,,,,,,
SRP083698,30953555,1,,,,,,,,
SRP083859,27799566,1,,,,,,,,
SRP087481,28507152,1,,,,,,,,
SRP087491,27728805,1,,,,,,,,
SRP089969,28877994,1,,,,,,,,
SRP090029,28089889,1,,,,,,,,
SRP090546,28108460,1,,,,,,,,
SRP090547,28108460,1,,,,,,,,
SRP090562,28108460,1,,,,,,,,
SRP090572,27694579,1,,,,,,,,
SRP090628,34083435,1,,,,,,,,
SRP090686,28344040,1,,,,,,,,
SRP090817,28071704,1,,,,,,,,
SRP091435,27989769,1,,,,,,,,
SRP091458,29566149,1,,,,,,,,
SRP091664,28071704,1,,,,,,,,
SRP091739,28805822,1,,,,,,,,
SRP091856,28963353,1,,,,,,,,
SRP091857,28963353,1,,,,,,,,
SRP091862,28552607,1,,,,,,,,
SRP091873,28272465,1,,,,,,,,
SRP091903,28552607,1,,,,,,,,
SRP091986,28505145,1,,,,,,,,
SRP092004,29054992,1,,,,,,,,
SRP092043,27980103,1,,,,,,,,
SRP092083,29054992,1,,,,,,,,
SRP092158,27851913,1,,,,,,,,
SRP092159,28059768,1,,,,,,,,
SRP092279,28514453,1,,,,,,,,
SRP092280,28514453,1,,,,,,,,
SRP092413,34818552,1,,,,,,,,
SRP092620,30266823,1,,,,,,,,
SRP092906,28089889,1,,,,,,,,
SRP093302,34470779,1,,,,,,,,
SRP093326,28067246,1,,,,,,,,
SRP093672,27821484,1,,,,,,,,
SRP094390,28695892,1,,,,,,,,
SRP094392,28695892,1,,,,,,,,
SRP094446,30097071,1,,,,,,,,
SRP094494,28625833,1,,,,,,,,
SRP094570,28059767; 33481853; 37875657,3,,,,,,,,
SRP094694,28691928,1,,,,,,,,
SRP094936,28074068,1,,,,,,,,
SRP094982,27935821,1,,,,,,,,
SRP095013,29212856,1,,,,,,,,
SRP095096,28467820,1,,,,,,,,
SRP095114,28273454,1,,,,,,,,
SRP095157,28273454,1,,,,,,,,
SRP095260,29126175,1,,,,,,,,
SRP095488,28411207,1,,,,,,,,
SRP095593,28467820,1,,,,,,,,
SRP095766,28385453,1,,,,,,,,
SRP096283,34083435,1,,,,,,,,
SRP096325,28655788,1,,,,,,,,
SRP096329,28228285,1,,,,,,,,
SRP096338,29440233; 30658994,2,,,,,,,,
SRP096375,28487543,1,,,,,,,,
SRP096678,28042144; 30647404,2,,,,,,,,
SRP096728,29898962,1,,,,,,,,
SRP096729,29898962,1,,,,,,,,
SRP096730,29898962,1,,,,,,,,
SRP096751,28531272,1,,,,,,,,
SRP096752,28531272,1,,,,,,,,
SRP096883,28246332,1,,,,,,,,
SRP096909,28801231,1,,,,,,,,
SRP096910,28801231,1,,,,,,,,
SRP096912,28801231,1,,,,,,,,
SRP096980,28430642,1,,,,,,,,
SRP097178,31882362,1,,,,,,,,
SRP097684,30270106,1,,,,,,,,
SRP098484,29170280,1,,,,,,,,
SRP098727,28549174,1,,,,,,,,
SRP098839,28082722,1,,,,,,,,
SRP098887,29457796,1,,,,,,,,
SRP098919,29126175,1,,,,,,,,
SRP098943,30010675,1,,,,,,,,
SRP098948,30010675,1,,,,,,,,
SRP098949,30010675,1,,,,,,,,
SRP099078,29416646,1,,,,,,,,
SRP099140,30057145,1,,,,,,,,
SRP099215,28898695,1,,,,,,,,
SRP099427,30127528,1,,,,,,,,
SRP099428,30127528,1,,,,,,,,
SRP099447,28192419,1,,,,,,,,
SRP099450,28292441,1,,,,,,,,
SRP099841,29892061,1,,,,,,,,
SRP099848,28837809,1,,,,,,,,
SRP100079,29457796,1,,,,,,,,
SRP100482,29662057,1,,,,,,,,
SRP100613,28196408,1,,,,,,,,
SRP100637,28223503,1,,,,,,,,
SRP100848,29026085,1,,,,,,,,
SRP101345,29747501; 30148686,2,,,,,,,,
SRP101495,29355841,1,,,,,,,,
SRP101658,28356514,1,,,,,,,,
SRP101887,30643296,1,,,,,,,,
SRP101888,30643296,1,,,,,,,,
SRP101890,30643296,1,,,,,,,,
SRP102077,29915428,1,,,,,,,,
SRP102081,29185442,1,,,,,,,,
SRP102083,29185442,1,,,,,,,,
SRP102097,30205046,1,,,,,,,,
SRP102140,30205046,1,,,,,,,,
SRP102202,28802249,1,,,,,,,,
SRP102228,28802249,1,,,,,,,,
SRP102234,28802249,1,,,,,,,,
SRP102315,29440233,1,,,,,,,,
SRP102365,31685822,1,,,,,,,,
SRP102369,28920957,1,,,,,,,,
SRP102376,29788454,1,,,,,,,,
SRP102440,28986391,1,,,,,,,,
SRP102442,28986391,1,,,,,,,,
SRP102446,28986391,1,,,,,,,,
SRP102694,34090884,1,,,,,,,,
SRP102707,28428441; 38030378,2,,,,,,,,
SRP102735,29490280,1,,,,,,,,
SRP102789,29490280,1,,,,,,,,
SRP102879,29490948,1,,,,,,,,
SRP102880,29490948,1,,,,,,,,
SRP102918,28669490,1,,,,,,,,
SRP102959,28678785,1,,,,,,,,
SRP103140,30107174,1,,,,,,,,
SRP103204,28740083,1,,,,,,,,
SRP103794,28553926,1,,,,,,,,
SRP103809,28593993,1,,,,,,,,
SRP103941,28923089,1,,,,,,,,
SRP103942,28923089,1,,,,,,,,
SRP103943,28923089,1,,,,,,,,
SRP103944,28923089,1,,,,,,,,
SRP104179,28552348,1,,,,,,,,
SRP104270,30674975,1,,,,,,,,
SRP104313,29211711,1,,,,,,,,
SRP104393,28805822,1,,,,,,,,
SRP104694,29211711,1,,,,,,,,
SRP104749,30846826,1,,,,,,,,
SRP105082,29706548,1,,,,,,,,
SRP105208,28320873,1,,,,,,,,
SRP105224,30059005,1,,,,,,,,
SRP105225,30059005,1,,,,,,,,
SRP105763,28490498,1,,,,,,,,
SRP106453,30093685,1,,,,,,,,
SRP106467,30135582,1,,,,,,,,
SRP106720,32585597,1,,,,,,,,
SRP106735,29321178,1,,,,,,,,
SRP106867,28614298,1,,,,,,,,
SRP106868,28614298,1,,,,,,,,
SRP107025,29915428,1,,,,,,,,
SRP107069,28928148,1,,,,,,,,
SRP107299,28959975,1,,,,,,,,
SRP107319,28813415,1,,,,,,,,
SRP107320,28813415,1,,,,,,,,
SRP107321,28813415,1,,,,,,,,
SRP107565,31178407,1,,,,,,,,
SRP107772,29466756,1,,,,,,,,
SRP107839,28735753,1,,,,,,,,
SRP107840,28735753,1,,,,,,,,
SRP107841,28735753,1,,,,,,,,
SRP108039,33658640,1,,,,,,,,
SRP108182,28619709,1,,,,,,,,
SRP108215,29844167,1,,,,,,,,
SRP108222,29017058,1,,,,,,,,
SRP108745,29675472,1,,,,,,,,
SRP108807,29233929,1,,,,,,,,
SRP108978,31649055,1,,,,,,,,
SRP109346,29056339,1,,,,,,,,
SRP109858,29871632,1,,,,,,,,
SRP110170,29030483,1,,,,,,,,
SRP110235,29431745,1,,,,,,,,
SRP110289,28968964,1,,,,,,,,
SRP110494,30455465,1,,,,,,,,
SRP110500,29535300,1,,,,,,,,
SRP110501,29535300,1,,,,,,,,
SRP110502,29535300,1,,,,,,,,
SRP110503,29535300,1,,,,,,,,
SRP110516,29891505,1,,,,,,,,
SRP110582,29617667,1,,,,,,,,
SRP110617,29507391,1,,,,,,,,
SRP110618,29507391,1,,,,,,,,
SRP110720,29891505,1,,,,,,,,
SRP110805,29352292,1,,,,,,,,
SRP111194,35017482,1,,,,,,,,
SRP111555,29610481,1,,,,,,,,
SRP111720,28886383,1,,,,,,,,
SRP112547,29395061,1,,,,,,,,
SRP112549,29395061,1,,,,,,,,
SRP112556,32014111,1,,,,,,,,
SRP112586,28939823,1,,,,,,,,
SRP112742,29440304,1,,,,,,,,
SRP112897,29590631; 39207122,2,,,,,,,,
SRP113281,29864419,1,,,,,,,,
SRP113289,28867293,1,,,,,,,,
SRP113290,28867293,1,,,,,,,,
SRP113291,28867293,1,,,,,,,,
SRP113480,30404917,1,,,,,,,,
SRP113604,29669295,1,,,,,,,,
SRP113670,29172250,1,,,,,,,,
SRP114254,30069046,1,,,,,,,,
SRP114397,29027980,1,,,,,,,,
SRP114404,29027980,1,,,,,,,,
SRP114504,30449621,1,,,,,,,,
SRP114842,29723194,1,,,,,,,,
SRP114926,28902842,1,,,,,,,,
SRP114981,34732702,1,,,,,,,,
SRP115284,37015919,1,,,,,,,,
SRP115285,37015919,1,,,,,,,,
SRP115498,29153838,1,,,,,,,,
SRP115816,30143629,1,,,,,,,,
SRP115838,29230054,1,,,,,,,,
SRP115936,29842781,1,,,,,,,,
SRP116142,31327655,1,,,,,,,,
SRP116341,30389702,1,,,,,,,,
SRP116382,30041684,1,,,,,,,,
SRP116398,29212856,1,,,,,,,,
SRP116908,29867192,1,,,,,,,,
SRP116924,29416092,1,,,,,,,,
SRP117020,30325352,1,,,,,,,,
SRP117044,28891793,1,,,,,,,,
SRP117142,29168504,1,,,,,,,,
SRP117628,29873416,1,,,,,,,,
SRP117687,29315726,1,,,,,,,,
SRP117691,29315726,1,,,,,,,,
SRP117692,29844131,1,,,,,,,,
SRP117950,30022162,1,,,,,,,,
SRP117952,30022162,1,,,,,,,,
SRP117953,30022162,1,,,,,,,,
SRP118077,29625057,1,,,,,,,,
SRP118535,29176795,1,,,,,,,,
SRP118933,29191879,1,,,,,,,,
SRP118964,29426892,1,,,,,,,,
SRP118999,28985562,1,,,,,,,,
SRP119319,29686279,1,,,,,,,,
SRP119365,33230299,1,,,,,,,,
SRP119425,29309048,1,,,,,,,,
SRP119437,30086262,1,,,,,,,,
SRP119527,28846088,1,,,,,,,,
SRP119606,29518696,1,,,,,,,,
SRP119776,30454645,1,,,,,,,,
SRP119849,28985562,1,,,,,,,,
SRP119876,29234000,1,,,,,,,,
SRP119994,30454645,1,,,,,,,,
SRP119995,30454645,1,,,,,,,,
SRP121327,36171288,1,,,,,,,,
SRP123227,30297899,1,,,,,,,,
SRP123595,30392957,1,,,,,,,,
SRP124241,30773341,1,,,,,,,,
SRP124246,30773341,1,,,,,,,,
SRP124262,29202461,1,,,,,,,,
SRP124264,29507391,1,,,,,,,,
SRP124587,32483112,1,,,,,,,,
SRP124588,32483112,1,,,,,,,,
SRP124589,32483112,1,,,,,,,,
SRP124590,32483112,1,,,,,,,,
SRP124659,29162563,1,,,,,,,,
SRP124660,29162563,1,,,,,,,,
SRP124661,29162563,1,,,,,,,,
SRP124883,33238290,1,,,,,,,,
SRP124968,28985562,1,,,,,,,,
SRP125184,30799036,1,,,,,,,,
SRP125186,29281816,1,,,,,,,,
SRP125396,29274096,1,,,,,,,,
SRP125710,29742391,1,,,,,,,,
SRP125962,29254993,1,,,,,,,,
SRP125972,30401712,1,,,,,,,,
SRP125988,31126321,1,,,,,,,,
SRP126091,29301958,1,,,,,,,,
SRP126165,30537514,1,,,,,,,,
