SRP_ERP_ID,PMIDs,PMID_Count,study_title,study_description,organism,study_type,platform,run_count,total_size,study_publication_date
ERP004044,24210919,1,,,,,,,,
ERP021897,26829319,1,,,,,,,,
ERP023321,22553170; 28330676,2,,,,,,,,
ERP110064,30936547,1,,,,,,,,
ERP113510,30933372,1,,,,,,,,
ERP122474,34144978,1,,,,,,,,
ERP137247,31919445,1,,,,,,,,
ERP158927,30737237,1,,,,,,,,
ERP165468,33257839,1,,,,,,,,
SRP000413,19056696,1,,,,,,,,
SRP001158,19881494,1,,,,,,,,
SRP001634,34083435,1,,,,,,,,
SRP001736,20927367,1,,,,,,,,
SRP001893,20133523,1,,,,,,,,
SRP002152,20671152,1,,,,,,,,
SRP002206,20663909,1,,,,,,,,
SRP002480,34083435,1,,,,,,,,
SRP002570,23555662,1,,,,,,,,
SRP003238,21149273,1,,,,,,,,
SRP003320,21156283,1,,,,,,,,
SRP003411,21074721,1,,,,,,,,
SRP003791,21402776,1,,,,,,,,
SRP004717,21173166,1,,,,,,,,
SRP004871,21258342,1,,,,,,,,
SRP005416,21307934,1,,,,,,,,
SRP005473,21785137,1,,,,,,,,
SRP005701,25535918,1,,,,,,,,
SRP005707,22049316,1,,,,,,,,
SRP005845,22138693,1,,,,,,,,
SRP005908,16951139; 16959974; 19396168; 19584163; 20579941; 20585448,6,,,,,,,,
SRP006001,21427703,1,,,,,,,,
SRP006514,21813623; 24419320; 25879486; 27272143,4,,,,,,,,
SRP006750,29078418,1,,,,,,,,
SRP006767,29078418,1,,,,,,,,
SRP006814,21427231,1,,,,,,,,
SRP007111,21726817,1,,,,,,,,
SRP007867,21964334,1,,,,,,,,
SRP007885,21964334,1,,,,,,,,
SRP007956,22308418; 24322557,2,,,,,,,,
SRP008047,34083435,1,,,,,,,,
SRP008162,21949389,1,,,,,,,,
SRP008502,22014572,1,,,,,,,,
SRP008815,22534504,1,,,,,,,,
SRP009380,22157815,1,,,,,,,,
SRP009414,23707059,1,,,,,,,,
SRP009487,22185227,1,,,,,,,,
SRP009904,23129810; 25488664,2,,,,,,,,
SRP010037,29078418,1,,,,,,,,
SRP010052,22325352,1,,,,,,,,
SRP010129,23728175,1,,,,,,,,
SRP010482,23754963,1,,,,,,,,
SRP010861,29615789,1,,,,,,,,
SRP010872,22445484,1,,,,,,,,
SRP011011,34083435,1,,,,,,,,
SRP011568,23385593,1,,,,,,,,
SRP012171,23021216,1,,,,,,,,
SRP012266,24875621,1,,,,,,,,
SRP012990,29078418,1,,,,,,,,
SRP012991,29078418,1,,,,,,,,
SRP013758,22709692,1,,,,,,,,
SRP014457,23239736,1,,,,,,,,
SRP014638,23075513,1,,,,,,,,
SRP014753,22734930,1,,,,,,,,
SRP015313,22990236,1,,,,,,,,
SRP015458,23555662,1,,,,,,,,
SRP015715,23101621,1,,,,,,,,
SRP015838,29078418,1,,,,,,,,
SRP016089,23428873,1,,,,,,,,
SRP016495,23151475,1,,,,,,,,
SRP016565,23428873,1,,,,,,,,
SRP017184,23306439,1,,,,,,,,
SRP017546,11094089; 15592455; 16843263; 17220478,4,,,,,,,,
SRP017753,23523371,1,,,,,,,,
SRP017951,23352430,1,,,,,,,,
SRP018291,23812039,1,,,,,,,,
SRP018392,24875481,1,,,,,,,,
SRP018926,24385926,1,,,,,,,,
SRP019038,34083435,1,,,,,,,,
SRP021075,23665916,1,,,,,,,,
SRP021111,23803465,1,,,,,,,,
SRP021158,23803465,1,,,,,,,,
SRP021515,24957674,1,,,,,,,,
SRP021886,23925128,1,,,,,,,,
SRP021917,24533081,1,,,,,,,,
SRP022129,24332044,1,,,,,,,,
SRP022146,23974202,1,,,,,,,,
SRP022882,23823620,1,,,,,,,,
SRP022923,23817021,1,,,,,,,,
SRP022924,23817021,1,,,,,,,,
SRP025151,24792119,1,,,,,,,,
SRP025152,24792119,1,,,,,,,,
SRP025153,24792119,1,,,,,,,,
SRP026008,24356587,1,,,,,,,,
SRP026074,24875621,1,,,,,,,,
SRP026300,24186871,1,,,,,,,,
SRP026535,22711821,1,,,,,,,,
SRP026543,24747640,1,,,,,,,,
SRP026566,24747640,1,,,,,,,,
SRP026604,27457071,1,,,,,,,,
SRP027544,24794443,1,,,,,,,,
SRP028299,23993744,1,,,,,,,,
SRP028410,25535918,1,,,,,,,,
SRP028541,23925245,1,,,,,,,,
SRP028709,24270360,1,,,,,,,,
SRP028710,24270360,1,,,,,,,,
SRP028814,24875481,1,,,,,,,,
SRP029213,24322557,1,,,,,,,,
SRP029900,25130491,1,,,,,,,,
SRP029902,25130491,1,,,,,,,,
SRP030008,24787348,1,,,,,,,,
SRP030009,24787348,1,,,,,,,,
SRP030210,24385926,1,,,,,,,,
SRP031621,24413398,1,,,,,,,,
SRP031653,24315100,1,,,,,,,,
SRP032280,22500798,1,,,,,,,,
SRP032344,22500798,1,,,,,,,,
SRP032369,24264989,1,,,,,,,,
SRP032446,24317510,1,,,,,,,,
SRP033027,24440720,1,,,,,,,,
SRP033364,24670641,1,,,,,,,,
SRP033401,27457071,1,,,,,,,,
SRP034541,27457071,1,,,,,,,,
