coreproject,pmid
U10CA031946,1349163
ZIACP010207,1370120
U10CA031946,1383821
U10CA031946,1384949
U10CA031946,1394054
U10CA031946,1433344
U10CA031946,1588374
U10CA031946,1608355
U10CA031946,1623485
U10CA031946,1639635
U10CA031946,1735010
U10CA031946,1743622
U10CA031946,1783527
U10CA031946,2208013
ZIACP010207,2228129
U10CA031946,2283562
U10CA031946,2420443
U10CA031946,2650758
ZIACP010207,2770777
ZIACP010207,2792052
U10CA031946,3032434
U10CA031946,3132591
ZIACP010207,3228715
R43CA081787,3276053
ZIACP010207,3288837
ZIACP010207,3405236
U10CA031946,3530451
ZIACP010207,3569168
ZIACP010207,3803324
U10CA031946,3955555
R21CA114489,4087102
U10CA031946,6488443
ZIACP010222,6580064
ZIACP010206,6694663
ZIACP010206,6823230
U10CA031946,7139643
P50CA092629,7474936
P50CA062924,7479076
P50CA092629,7495118
U01CA062491,7497463
P50CA062924,7513984
P50CA092629,7514688
P50CA092629,7516262
P50CA092629,7520020
P50CA092629,7523718
P50CA092629,7523732
P50CA092629,7526353
P50CA092629,7529128
P50CA092629,7534850
P50CA092629,7534899
P50CA092629,7538042
P50CA092629,7538321
P50CA092629,7541677
P50CA062924,7550326
P50CA062924,7553631
P50CA062924,7553647
P50CA058223,7559633
P50CA092629,7563355
P50CA062924,7573363
P50CA062924,7584997
P50CA062924,7585065
P50CA092629,7585563
P50CA092629,7587393
P50CA062924,7597059
P50CA062924,7604266
P50CA092629,7609108
P50CA058223,7612897
P50CA058223,7612898
P50CA058223,7612902
P50CA058223,7612903
P50CA058223,7612904
P50CA058223,7612905
P50CA058223,7612907
P50CA058223,7612910
P50CA058223,7629134
P50CA062924,7632227
P50CA092629,7641214
U01CA062502,7642472
U01CA062505,7644931
P50CA062924,7660250
P50CA058223,7666086
U10CA031946,7683352
U10CA031946,7718875
P50CA092629,7724580
P50CA062924,7726912
P50CA062924,7757992
U10CA031946,7760868
P50CA062924,7796420
P50CA092629,7802135
P50CA092629,7818898
P50CA092629,7823593
P50CA092629,7829250
P50CA092629,7835094
U01CA062491,7882302
U10CA031946,7884434
R21CA099139,7896090
R33CA099139,7896090
U10CA031946,7908410
P50CA062924,7954428
P50CA092629,7987828
P50CA062924,8030745
P50CA092629,8084836
P50CA058223,8105266
U10CA031946,8154963
P50CA092629,8158775
P50CA092629,8170479
U10CA031946,8187005
P50CA062924,8187092
U10CA031946,8201372
P50CA058223,8208544
U10CA031946,8229122
P50CA092629,8238732
U10CA031946,8246285
U10CA031946,8250593
P50CA092629,8284886
U54CA118638,8324489
U10CA031946,8381188
P50CA092629,8402613
P50CA062924,8542572
P50CA098252,8548765
P50CA062924,8548765
P50CA062924,8553070
U01CA062461,8558210
P50CA092629,8560651
P50CA062924,8564959
P50CA062924,8574961
P50CA092629,8580376
P50CA062924,8586419
P50CA092629,8606867
P50CA062924,8617452
U10CA031946,8627642
P50CA092629,8627846
P50CA092629,8628300
P50CA062924,8630994
P50CA062924,8633039
U01CA070095,8637048
P50CA062924,8653691
P50CA092629,8666233
P50CA062924,8666379
P50CA058223,8672997
U01CA069852,8683231
U01CA062505,8683640
P50CA058223,8686738
P50CA062924,8688317
P50CA092629,8702703
P50CA062924,8707091
P50CA092629,8709307
U10CA031946,8727040
U10CA031946,8750467
P50CA062924,8761438
P50CA062924,8790399
P50CA092629,8797572
P50CA062924,8799152
P50CA092629,8800746
U01CA062502,8811444
P50CA062924,8811492
P50CA092629,8826950
P50CA062924,8838326
P50CA058223,8840997
P50CA058223,8841025
U01CA062505,8841028
P50CA062924,8861899
P50CA062924,8863664
P50CA092629,8864193
P50CA062924,8879277
U01CA062505,8891922
U10CA031946,8922293
P50CA092629,8948413
U01CA070095,8955651
P50CA092629,8964849
P50CA062924,8968085
U10CA031946,8988740
U01CA070095,8993506
U01CA062505,8996529
P50CA092629,8998182
P50CA062924,9000553
U54CA196519,9001241
P50CA062924,9006336
P50CA092629,9009158
P50CA092629,9028364
P50CA062924,9033253
U54CA118638,9037342
P50CA062924,9038672
P50CA062924,9060832
P50CA062924,9062090
P50CA092629,9075707
P50CA062924,9092316
P50CA062924,9098646
P50CA092629,9101138
P50CA092629,9112522
P50CA092629,9116750
P50CA062924,9122232
P50CA062924,9135016
P50CA062924,9137081
P50CA092629,9145716
P50CA092629,9146618
P50CA058223,9150151
P50CA070907,9151874
P50CA062924,9155588
P50CA062924,9157888
U01CA062461,9157987
P50CA092629,9159699
P50CA058223,9164127
U01CA070095,9164209
P50CA062924,9176082
U10CA031946,9179072
P50CA058223,9184506
P50CA062924,9187111
P50CA070907,9187130
P50CA092629,9190208
P50CA070907,9192812
P50CA062924,9193188
U01CA069852,9193346
U54CA118638,9195801
P50CA062924,9207270
P50CA092629,9212113
U54CA118638,9217035
P50CA092629,9218025
U01CA062487,9219505
P50CA092629,9223321
P50CA062924,9242437
U54CA118638,9253552
P50CA070907,9258601
U10CA031946,9269784
P50CA092629,9269988
P50CA062924,9269998
U01CA069912,9269999
P50CA062924,9271715
P50CA058223,9287338
P50CA062924,9288102
P50CA092629,9307074
P50CA070907,9308707
P50CA062924,9327727
