type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_year_enrollment_started	dataset_year_enrollment_ended	dataset_minimum_age_at_baseline	dataset_maximum_age_at_baseline
dataset	NCCR_Platform_001	NCCR Data Platform	Consolidated Tumor Case (CTC) Data Source	"The Consolidated Tumor Case (CTC) data source consists of the final adjudicated data collected from population-based cancer registries, including Surveillance, Epidemiology, & End Results (SEER) registries. The CTC data available in the data platform were submitted in December 2024 under the National Childhood Cancer Registry data submission requirements for cases diagnosed from 1995 to 2022. The records represent 52.7% of all U.S. children, adolescents, and young adults between the ages of 0 and 39 based on 2020 U.S. populations. Registries include: California (Greater Bay, Greater California, Los Angeles), Colorado, Connecticut, Georgia, Hawai'i, Idaho, Illinois, Iowa, Kentucky, Louisiana, New Jersey, New Mexico, New York, Seattle-Puget Sound, Tennessee, Texas, Utah, and Wisconsin. This data source also includes information from the NAACCR Virtual Pooled Registry linkage, which helps to identify prior and subsequent malignant neoplasms from additional central cancer registries. The October 2025 data refresh includes 1,359,308 persons with 1,474,368 cancer diagnoses."	NCCR_Platform_001	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	1359308		https://nccrexplorer.ccdi.cancer.gov/nccr.html				1995	2022	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Area-Based Measures Data Source	"The Area-Based Measures data source provides non-clinical data variables derived from the US Census Department, which allow researchers to gain a broader context of the factors that may contribute to a person's health. The variables are 2010 Census attributes and based on 2010 Census-defined geographic boundaries. Values for these variables are provided for patients with a SEER diagnosis year between 2006 and 2022. The October 2025 data refresh includes 1,359,308 persons."	NCCR_Platform_002	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	1359308		https://nccrexplorer.ccdi.cancer.gov/nccr.html				1995	2022	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Children's Oncology Group (COG) Data Source	"The Children's Oncology Group (COG) data source provides data for patients enrolled in COG studies, including clinical trials and registry protocols, such as Childhood Cancer Research Network and Project:EveryChild. When used in tandem with other NCCR data, these data can help researchers better understand?differences between patients who have participated in COG studies or registries and those with no evidence of participation. This data source collects data from patients with a COG captured diagnosis year between 2007 and 2018. The October 2025 data refresh includes 40,632 persons."	NCCR_Platform_003	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	40632		https://nccrexplorer.ccdi.cancer.gov/nccr.html				2007	2018	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Medical Claims Diagnosis Data Source	"The Medical Claims Diagnosis data source provides patient diagnosis data extracted from medical claims collected by various insurers. It includes the ICD-9 or ICD-10 diagnosis code associated with each claim, the sequence number for diagnosis codes that occurred on multiple claims within the same month, and the number of months that elapsed between the index cancer diagnosis and the service date of the claim for the diagnosis code. The October 2025 data refresh includes 286,205 persons with 54,148,739 records of all cancer and non-cancer diagnoses at different time points."	NCCR_Platform_004	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	286205		https://nccrexplorer.ccdi.cancer.gov/nccr.html				1995	2022	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Medical Claims Enrollment Data Source	"The Medical Claims Enrollment data source provides patient enrollment data extracted from medical claims collected by various insurers. It includes details about each patient's insurance enrollment status at various points in time before and after their index cancer diagnosis. While all patients are included in the Medical Claims Enrollment data, enrollment status is known only for years between 2000 to 2023, and only for patients with a SEER diagnosis year between 2000 and 2021. The October 2025 data refresh includes 291,578 persons with enrollment records."	NCCR_Platform_005	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	291578		https://nccrexplorer.ccdi.cancer.gov/nccr.html				2000	2023	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Medical Claims Procedure Data Source	"The Medical Claims Procedure data source provides patient procedure data extracted from medical claims collected by various insurers. It includes the ICD-9, ICD-10, HCPCS, or CPT procedure code associated with each claim (along with any applicable procedure modifiers), the sequence number for procedures that occurred on multiple claims within the same month, and the number of months that elapsed between the index cancer diagnosis and the service date of the procedure. The October 2025 data refresh includes 286,274 persons with 62,669,037 records of all cancer and non-cancer procedures at different time points."	NCCR_Platform_006	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	286274		https://nccrexplorer.ccdi.cancer.gov/nccr.html				1995	2022	0	67
dataset	NCCR_Platform_001	NCCR Data Platform	Pharmacy Claims Data Source	"The Pharmacy Claims data source provides information derived from outpatient pharmacy providers' claims for medications dispensed to patients with cancer. This data source includes information for patients with claims since 2000 from a variety of insurers, such as commercial plans or Medicaid, and from commercial pharmacies and a variety of geographic areas of participating NCCR registries. It holds the 9- and 11-digit National Drug Code, quantity, duration of the dispensed medication, the associated drug classes and names from the NCI's CanMED (or, for medications not found in CanMED, the names, identifiers, strength, dose form, and class information from RxNorm), and the months elapsed between the date of the first cancer diagnosis and dispense start date of that medication. The prescription information in this data source is primarily for oral antineoplastics and infusion-based chemotherapies. Hospital-based chemotherapy agents are currently not included. The October 2025 data refresh includes 238,216 persons with 12,611,171 records of all cancer and non-cancer pharmacy records at different time points."	NCCR_Platform_007	https://nccrdataplatform.ccdi.cancer.gov/data-browser			DCCPS		CCDI	10/31/2025			Cancer surveillance and linked real-world data	Multiple Cancer Types	238216		https://nccrexplorer.ccdi.cancer.gov/nccr.html				1995	2022	0	67
