program_1,program_2,shared_project_count
FusionOncoproteinsinChildhoodCancersFusOnc2,AllofUs,5
AllofUs,BarrettsEsophagusTranslationalResearchNetworkBETRNet,4
CellularCancerBiologyImagingResearch,AllofUs,2
ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,AllofUs,1
AllofUs,TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,1
AllofUs,AcquiredResistancetoTherapyNetworkARTNet,1
