pmid,geo_id,coreproject
10607734,,Z01CP010120
10604929,,Z01SC006538
10606674,,Z01BC005268
10614618,,P50CA092629
10617153,,Z01BC005708
10618116,,Z01CP010124
10622770,,Z01CP010153
10620518,,Z01CP010119
10623651,,P50CA062924
10623801,,Z01BC010300
10627443,,U24CA076518
10627441,,U10CA031946
10631138,,Z01CP004410
10632285,,Z01CP010124
10637239,,P50CA058223
10638995,,Z01CP010135
10639144,,P50CA062924
10640391,,Z01SC009174
10644270,,Z01CP005782
10646608,,Z01SC007263
10647795,,Z01CP005782
10652234,,Z01SC006538
10655441,,Z01SC010074
10655057,,U10CA031946
10656455,,U01CA069912
10658914,,P50CA062924
10663562,,Z01BC009283
10667465,,P50CA058223
10667601,,Z01SC009172
10667916,,Z01BC010030
10668853,,Z01BC005562
10675100,,Z01BC005708
10678832,,Z01BC010027
10679910,,Z01CP005803
10679912,,P50CA062924
10680019,,P50CA070907
10680778,,P50CA062924
10681431,,Z01BC004517
10682688,,Z01CP005782
10686520,,Z01BC007363
10686616,,P50CA092629
10690518,,Z01SC006737
10688652,,Z01BC008756
10691336,,Z01SC006737
10692220,,Z01CP010124
10692390,,Z01BC005599
10698477,,Z01CP010119
10696126,,Z01CP005803
10698485,,P50CA058223
10698967,,Z01BC005598
10694816,,Z01BC005598
10699468,,Z01SC010074
10699959,,P50CA070907
10699972,,Z01BC005598
10702227,,Z01BC010001
10704711,,U10CA031946
10706079,,P50CA092629
10706081,,P50CA070907
10706110,,P50CA058223
10707005,,Z01BC005562
10706142,,Z01BC005522
10707773,,Z01SC000550
10707920,,Z01CP010135
10713699,,P50CA058223
10715157,,Z01BC006198
10715301,,U10CA031946
10716964,,Z01CP010124
10716967,,U10CA031946
10716986,,Z01BC010030
10719364,,P50CA062924
10719863,,P50CA062924
10723021,,Z01CP010135
10723796,,Z01BC010304
10724034,,Z01BC005598
10725410,,Z01BC007365
10725468,,Z01BC005708
10725472,,Z01BC005708
10725715,,Z01BC009283
10726969,,Z01BC005708
10728665,,P50CA070907
10731415,,Z01BC005708
10733037,,Z01CP010120
10733511,,Z01SC006737
10734117,,Z01BC007365
10735505,,P50CA070907
10738302,,Z01CP004410
10739704,,Z01CP010126
10741703,,U01CA062487
10741712,,P50CA070907
10744177,,Z01CP010122
10746728,,Z01CP010136
10748032,,Z01BC010419
10748236,,Z01SC006741
10749907,,Z01CP005803
10751229,,Z01BC005708
10752798,,P50CA058223
10752971,,P50CA058223
10753203,,Z01BC005708
10753222,,Z01BC005708
10766182,,P50CA092629
10756097,,Z01BC005599
10766185,,P50CA070907
10766186,,P50CA070907
10766191,,P50CA062924
10766243,,Z01BC010309
10766861,,P50CA070907
10768462,,Z01CP010144
10771285,,Z01BC005562
10772651,,Z01BC005562
10777219,,Z01CP004410
10773458,,Z01BC009404
10777601,,Z01BC004496
10778954,,U01CA062461
