,index,program,Program1,Program2
0,"('FusionOncoproteinsinChildhoodCancersFusOnc2', 'AllofUs')",5,FusionOncoproteinsinChildhoodCancersFusOnc2,AllofUs
1,"('BarrettsEsophagusTranslationalResearchNetworkBETRNet', 'AllofUs')",4,BarrettsEsophagusTranslationalResearchNetworkBETRNet,AllofUs
2,"('CellularCancerBiologyImagingResearch', 'AllofUs')",2,CellularCancerBiologyImagingResearch,AllofUs
3,"('ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren', 'AllofUs')",1,ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,AllofUs
4,"('TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST', 'AllofUs')",1,TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,AllofUs
5,"('AcquiredResistancetoTherapyNetworkARTNet', 'AllofUs')",1,AcquiredResistancetoTherapyNetworkARTNet,AllofUs
