coreproject,pmid
U10CA031946,1349163
U10CA031946,1383821
U10CA031946,1384949
U10CA031946,1394054
U10CA031946,1433344
U10CA031946,1588374
U10CA031946,1608355
U10CA031946,1623485
U10CA031946,1639635
U10CA031946,1735010
U10CA031946,1743622
U10CA031946,1783527
U10CA031946,2208013
U10CA031946,2283562
U10CA031946,2420443
U10CA031946,2650758
U10CA031946,3032434
U10CA031946,3132591
U10CA031946,3530451
U10CA031946,3955555
U10CA031946,6488443
U10CA031946,7139643
P50CA062924,7479076
U01CA062491,7497463
P50CA062924,7513984
P50CA062924,7550326
P50CA062924,7553631
P50CA062924,7553647
P50CA058223,7559633
P50CA062924,7573363
P50CA062924,7584997
P50CA062924,7585065
P50CA062924,7597059
P50CA062924,7604266
P50CA058223,7612897
P50CA058223,7612898
P50CA058223,7612902
P50CA058223,7612903
P50CA058223,7612904
P50CA058223,7612905
P50CA058223,7612907
P50CA058223,7612910
P50CA058223,7629134
P50CA062924,7632227
U01CA062502,7642472
U01CA062505,7644931
P50CA062924,7660250
P50CA058223,7666086
U10CA031946,7683352
U10CA031946,7718875
P50CA062924,7726912
P50CA062924,7757992
U10CA031946,7760868
P50CA062924,7796420
U01CA062491,7882302
U10CA031946,7884434
U10CA031946,7908410
P50CA062924,7954428
P50CA062924,8030745
P50CA058223,8105266
U10CA031946,8154963
U10CA031946,8187005
P50CA062924,8187092
U10CA031946,8201372
P50CA058223,8208544
U10CA031946,8229122
U10CA031946,8246285
U10CA031946,8250593
U54CA118638,8324489
U10CA031946,8381188
P50CA062924,8542572
P50CA062924,8548765
P50CA062924,8553070
U01CA062461,8558210
P50CA062924,8564959
P50CA062924,8574961
P50CA062924,8586419
P50CA062924,8617452
U10CA031946,8627642
P50CA062924,8630994
P50CA062924,8633039
U01CA070095,8637048
P50CA062924,8653691
P50CA062924,8666379
P50CA058223,8672997
U01CA069852,8683231
U01CA062505,8683640
P50CA058223,8686738
P50CA062924,8688317
P50CA062924,8707091
U10CA031946,8727040
U10CA031946,8750467
P50CA062924,8761438
P50CA062924,8790399
P50CA062924,8799152
U01CA062502,8811444
P50CA062924,8811492
P50CA062924,8838326
P50CA058223,8840997
P50CA058223,8841025
U01CA062505,8841028
P50CA062924,8861899
P50CA062924,8863664
U01CA062505,8891922
U10CA031946,8922293
U01CA070095,8955651
P50CA062924,8968085
U10CA031946,8988740
U01CA070095,8993506
U01CA062505,8996529
P50CA062924,9000553
P50CA062924,9006336
P50CA062924,9033253
U54CA118638,9037342
P50CA062924,9038672
P50CA062924,9060832
P50CA062924,9062090
P50CA062924,9092316
P50CA062924,9098646
P50CA062924,9122232
P50CA062924,9135016
P50CA062924,9137081
P50CA058223,9150151
P50CA070907,9151874
P50CA062924,9155588
P50CA062924,9157888
U01CA062461,9157987
P50CA058223,9164127
U01CA070095,9164209
P50CA062924,9176082
U10CA031946,9179072
P50CA058223,9184506
P50CA062924,9187111
P50CA070907,9187130
P50CA070907,9192812
P50CA062924,9193188
U01CA069852,9193346
U54CA118638,9195801
U54CA118638,9217035
U01CA062487,9219505
P50CA062924,9242437
U54CA118638,9253552
P50CA070907,9258601
U10CA031946,9269784
P50CA062924,9269998
U01CA069912,9269999
P50CA062924,9271715
P50CA058223,9287338
P50CA062924,9288102
P50CA070907,9308707
P50CA062924,9327727
U01CA062505,9331132
U10CA031946,9336365
P50CA062924,9358771
P50CA058223,9360904
U10CA031946,9366296
U10CA031946,9393593
P50CA070907,9398356
P50CA058223,9415788
P50CA062924,9416697
P50CA062924,9428484
P50CA062924,9435252
U01CA062487,9440723
P50CA062924,9443984
P50CA062924,9443986
P50CA062924,9445110
P50CA062924,9458098
P50CA070907,9467947
U01CA069853,9473217
P50CA070907,9478943
P50CA062924,9482899
P50CA062924,9488480
P50CA062924,9488584
U01CA062461,9488599
P50CA062924,9500216
P50CA070907,9507016
P50CA062924,9512123
U10CA031946,9515850
P50CA062924,9516948
U01CA062502,9518162
U10CA031946,9529125
U01CA069912,9533538
P50CA058223,9544765
U10CA031946,9554537
P50CA070907,9555535
P50CA062924,9558276
P50CA070907,9559342
P50CA062924,9563494
P50CA070907,9578838
P50CA062924,9581906
P50CA058223,9583712
P50CA062924,9585023
P50CA062924,9585599
P50CA070907,9586665
U01CA069852,9586894
U10CA031946,9593262
U01CA062487,9599702
U10CA031946,9602264
P50CA070907,9605900
P50CA058223,9610785
P50CA062924,9612602
P50CA062924,9618505
U01CA069852,9619763
P50CA070907,9622060
P50CA062924,9622070
U01CA062491,9626459
U10CA031946,9633896
P50CA070907,9636181
P50CA058223,9646820
U01CA062461,9649178
U01CA062505,9649933
P50CA070907,9662337
P50CA058223,9671397
P50CA070907,9673339
P50CA070907,9674709
U01CA062461,9681251
U10CA031946,9691140
P50CA062924,9702198
P50CA058223,9703501
P50CA070907,9704675
U10CA031946,9716583
U10CA031946,9719081
P50CA062924,9721081
P50CA062924,9727977
U01CA062505,9738564
P50CA070907,9739759
U01CA069853,9740545
U01CA062487,9740550
U10CA031946,9750037
P50CA070907,9764824
U01CA062505,9768830
U01CA069912,9771954
P50CA062924,9777938
P50CA070907,9780006
U01CA062505,9788578
P50CA070907,9792048
P50CA058223,9794178
P50CA070907,9794233
P50CA070907,9796701
P50CA070907,9796705
U01CA062505,9796964
P50CA062924,9809551
P50CA070907,9809972
U01CA069912,9815635
U01CA069912,9815639
U01CA069912,9815747
U01CA069912,9815788
U01CA062490,9815982
U01CA070095,9816256
P50CA062924,9822382
P50CA062924,9824584
U01CA062461,9831398
P50CA070907,9840719
P50CA062924,9850045
P50CA062924,9850084
P50CA070907,9852260
P50CA058223,9855007
P50CA070907,9863031
P50CA062924,9865716
P50CA070907,9890161
P50CA070907,9918198
P50CA070907,9930348
P50CA058223,9950212
P50CA070907,9989814
P50CA062924,9989851
P50CA062924,10021685
P50CA070907,10022884
U10CA031946,10023700
P50CA070907,10027307
