coreproject,pmid
P30CA016042,1279509
P30CA043703,1280555
P30CA043703,1281066
P30CA015704,1281564
P30CA042014,1282437
P30CA021765,1283327
P30CA006927,1283368
P30CA006927,1286849
P30CA012197,1287884
P30CA021765,1289869
P30CA016672,1290701
P30CA016672,1290726
P30CA006927,1292008
P30CA016058,1292629
P30CA016672,1292756
P30CA016058,1293081
P30CA043703,1293668
P30CA016672,1295318
P30CA016056,1299378
P30CA033572,1299470
P30CA023074,1300623
P30CA016042,1302553
P30CA036727,1302557
P30CA016042,1306100
P30CA021765,1306884
P30CA046934,1309227
P01CA022443,1309258
P30CA021765,1309259
P30CA016672,1309591
P30CA013148,1309767
P30CA012197,1309787
P30CA043703,1309888
P30CA016672,1309903
P30CA013330,1309973
P30CA043703,1310544
P01CA022443,1310604
P30CA013148,1310710
P01CA022443,1310753
P30CA013148,1310764
P30CA006927,1310781
P30CA021765,1311084
P30CA021765,1311303
P30CA046934,1311309
P30CA021765,1311626
P30CA043703,1311752
P30CA021765,1312281
P30CA046934,1312348
P30CA043703,1312584
P30CA021765,1313041
P30CA013330,1313583
P01CA022443,1313915
P30CA013330,1313969
P30CA043703,1314025
P30CA006927,1314134
P30CA014236,1314386
P30CA006927,1314645
P30CA006516,1314870
P30CA006927,1314954
P30CA043703,1315048
P30CA006927,1315077
P30CA014236,1315212
P30CA010815,1315281
P30CA006927,1315698
P30CA006927,1315755
P30CA006927,1315756
P30CA023108,1316086
P30CA043703,1316137
P30CA023108,1316202
P30CA016359,1316227
P30CA036727,1316418
P30CA046934,1316433
P30CA046934,1316549
P30CA016672,1316670
P30CA046592,1316922
P30CA036727,1317747
P30CA012197,1318397
P30CA021765,1318610
P30CA021765,1318936
P30CA021765,1319075
P30CA016087,1319087
P30CA006927,1319204
P01CA022443,1319783
P30CA013696,1319825
P30CA023108,1320254
P30CA021765,1320465
P30CA036727,1320711
P30CA021765,1320952
P30CA043703,1321271
P01CA022443,1321424
P30CA046592,1321791
P30CA021765,1321853
P30CA006927,1322172
P30CA021765,1322231
P30CA021765,1322239
P30CA042014,1322590
P30CA006927,1322601
P30CA006927,1322888
P30CA042014,1322900
P30CA006927,1323115
P30CA006927,1323118
P30CA023108,1323291
P30CA015704,1323614
P30CA042014,1323691
P30CA016087,1323692
P30CA012197,1323702
P30CA006973,1323840
P30CA023108,1324278
P30CA013330,1324410
P30CA016672,1324902
P30CA042014,1324924
P30CA034196,1325193
P30CA016058,1325212
P30CA006516,1325556
P30CA013330,1325697
K12HD000849,1325845
P30CA016359,1325845
P30CA051008,1326364
P30CA006516,1326396
P30CA013148,1326810
P30CA021765,1327048
P30CA006927,1327137
P30CA021765,1327804
P30CA016087,1328084
P30CA013330,1328278
P30CA013330,1328477
P30CA033572,1328492
P30CA021765,1328848
P30CA006927,1329100
P30CA006927,1329103
P30CA010815,1329333
P30CA006973,1329643
P30CA033572,1329951
P30CA013330,1330876
P30CA042014,1331012
P30CA010815,1331046
P30CA138292,1331484
P30CA033572,1331779
P30CA023074,1332022
P30CA013330,1332474
P30CA006927,1332767
P30CA021765,1333123
P30CA013148,1333190
P30CA013330,1333841
P30CA046592,1335958
P30CA016058,1336101
P30CA013148,1336158
P30CA016058,1336345
P30CA021765,1336679
P30CA016087,1337879
P30CA033572,1339300
P30CA030199,1339667
R01CA053840,1339708
P30CA023108,1340063
P30CA010815,1340126
P30CA016056,1341270
P30CA015704,1344704
P30CA010815,1345792
P30CA014520,1346130
P30CA013330,1346495
P30CA021765,1346496
P30CA016042,1346583
P30CA006927,1346589
P30CA010815,1346797
P30CA006927,1346974
P30CA006927,1347469
P30CA016058,1347485
P30CA016042,1348216
P30CA021765,1348433
P30CA006973,1348448
P30CA016672,1348544
P30CA013148,1348940
P30CA016672,1348974
U10CA031946,1349163
P30CA023108,1349325
P30CA023108,1349893
P30CA006973,1350108
P30CA016672,1350127
P30CA013148,1351062
P30CA016058,1351087
P30CA016672,1351097
P30CA010815,1351391
P30CA013330,1352566
P30CA015704,1353432
P30CA013330,1353772
P30CA016672,1353960
P30CA021765,1354233
P30CA016672,1354328
P30CA006516,1354681
P30CA022453,1355145
P30CA013148,1355432
P30CA010815,1355656
P01CA022443,1356022
P30CA036727,1356515
P30CA013330,1356977
P30CA013330,1357056
P30CA010815,1357073
P30CA006927,1358108
P30CA010815,1358460
P30CA010815,1358972
P30CA014236,1359155
P30CA034196,1360278
P30CA023074,1360647
P30CA016058,1361453
P30CA016672,1361520
P30CA043703,1361589
P30CA013330,1362944
P30CA006927,1363817
P30CA015704,1365030
P30CA016672,1365315
P30CA036727,1365896
P30CA036727,1366990
P30CA036727,1367910
P30CA006516,1370332
P30CA036727,1370443
P30CA023108,1370618
P30CA022453,1370949
P30CA016087,1371248
P30CA010815,1371335
P30CA006927,1371499
P30CA016056,1371503
P30CA006927,1371530
P30CA010815,1371549
P30CA013148,1371789
P30CA013330,1371982
P30CA043703,1372202
P30CA010815,1372755
P30CA013330,1372764
P30CA013330,1373005
P30CA021765,1373085
P01CA022443,1373201
P30CA006927,1373206
P30CA021765,1373814
P30CA021765,1373973
P30CA023074,1373974
P30CA030199,1374416
P30CA021765,1374492
P30CA022453,1374546
P30CA016056,1374585
P30CA013148,1375007
P30CA021765,1375115
P30CA006973,1375301
P30CA021765,1375304
P30CA014599,1375657
P30CA016056,1375753
P30CA021765,1375850
P30CA016087,1376051
P30CA006927,1376054
P30CA016087,1376086
P30CA006927,1376094
P30CA013148,1376351
P30CA006927,1376369
P30CA022453,1376561
P30CA013330,1376757
P30CA016359,1377186
P30CA016056,1377471
P30CA012197,1377599
P30CA043703,1377908
P30CA008748,1378161
P30CA021765,1378505
P30CA008748,1379226
P30CA021765,1379467
P30CA043703,1379550
P30CA014599,1380032
P30CA006927,1380168
P30CA016087,1380541
P30CA021765,1380921
P30CA042014,1381390
P30CA021765,1381757
P30CA033572,1381990
P30CA013148,1382292
P30CA013330,1382578
P30CA015704,1382714
P30CA016087,1382848
P30CA042014,1382993
P30CA010815,1383347
P30CA013148,1383561
P30CA021765,1383567
P30CA014599,1383728
P30CA036727,1383746
U10CA031946,1383821
P30CA006516,1384060
P30CA016087,1384306
P30CA010815,1384341
U10CA031946,1384949
P30CA021765,1384951
P30CA006927,1384989
P30CA021765,1385638
P30CA006516,1385719
P30CA006516,1385720
P30CA015704,1386576
P30CA016672,1386643
P30CA006927,1387319
P30CA016058,1387539
P30CA016058,1388036
P30CA010815,1388721
P30CA046934,1389687
P30CA008748,1389912
P30CA006927,1390707
P30CA036727,1390894
P30CA021765,1391032
P30CA013148,1391131
P30CA043703,1391230
P30CA016058,1391935
P30CA015704,1391947
P30CA022453,1391975
P30CA054174,1391991
P30CA016672,1392616
P30CA006516,1394053
U10CA031946,1394054
P30CA012197,1394123
P30CA006927,1394194
P30CA016056,1394614
P30CA021765,1394798
P30CA036727,1394851
P30CA006516,1398056
P30CA016059,1398096
P30CA013330,1398966
P30CA013148,1399138
P30CA036727,1400464
P30CA021765,1400780
P30CA034196,1401878
P30CA006516,1401895
P30CA021765,1402676
P30CA023108,1402726
P30CA016672,1403033
P30CA043703,1403051
P30CA015704,1403055
P30CA021765,1403056
P30CA021765,1403559
P30CA023074,1404449
P30CA016058,1404451
P30CA006927,1404614
