pmid,geo_id,coreproject
10637239,,P50CA058223
10656455,,U01CA069912
10627441,,U10CA031946
10658914,,P50CA062924
10667465,,P50CA058223
10614618,,P50CA092629
10623651,,P50CA062924
10639144,,P50CA062924
10655057,,U10CA031946
10627443,,U24CA076518
10679912,,P50CA062924
10706110,,P50CA058223
10704711,,U10CA031946
10699959,,P50CA070907
10706079,,P50CA092629
10698485,,P50CA058223
10686616,,P50CA092629
10680778,,P50CA062924
10680019,,P50CA070907
10706081,,P50CA070907
10713699,,P50CA058223
10715301,,U10CA031946
10716967,,U10CA031946
10719863,,P50CA062924
10719364,,P50CA062924
10728665,,P50CA070907
10741703,,U01CA062487
10735505,,P50CA070907
10752798,,P50CA058223
10741712,,P50CA070907
10752971,,P50CA058223
10766182,,P50CA092629
10766185,,P50CA070907
10766186,,P50CA070907
10778954,,U01CA062461
10766861,,P50CA070907
10766191,,P50CA062924
10786685,,P50CA092629
10779807,,P50CA058223
10782661,,P50CA058223
10793075,,P50CA062924
10793087,,P50CA062924
10799174,,P50CA092629
10811470,,P50CA070907
10815876,,P50CA070907
10811501,,U01CA069853
10828011,,U24CA076518
10816633,,P50CA062924
10815880,,U01CA062490
10820429,,P50CA092629
10835495,,P50CA070907
10835692,,P50CA062924
10843289,,P50CA092629
10843445,,P50CA058223
10845900,,U24CA076518
10845940,,U24CA076518
10846517,,P50CA058223
10854137,,U01CA069852
10854204,,P50CA062924
10859563,,P50CA062924
10861502,,P50CA092629
10861743,,P50CA092629
10861744,,P50CA092629
10866300,,P50CA062924
10868690,,P50CA058223
10872423,,P50CA062924
10870476,,U10CA031946
10872425,,P50CA062924
10873082,,U01CA069912
10873102,,U01CA062487
10887152,,P50CA062924
10889045,,P50CA070907
10894879,,U10CA031946
10910954,,P50CA070907
10910968,,P50CA092629
10914700,,P50CA070907
10918582,,P50CA092629
10930367,,P50CA062924
10923926,,P50CA092629
10938283,,P50CA070907
10937052,,P50CA062924
10945606,,P50CA062924
10944559,,P50CA070907
10947988,,P50CA062924
10955404,,P50CA058223
10955772,,P50CA062924
10955780,,U01CA069852
10962454,,P50CA062924
10965972,,P50CA058223
10963127,,P50CA062924
10963602,200068586,P50CA058223
10963602,200000061,P50CA058223
10967136,,P50CA092629
10969645,,U10CA031946
10970819,,P50CA070907
10973323,,P50CA062924
10973392,,P50CA062924
10980115,,P50CA062924
10980619,,P50CA070907
10987304,,P50CA070907
10999813,,U24CA055727
11016639,,P50CA092629
11032587,,U10CA031946
11034071,,P50CA070907
11040334,,P50CA070907
11045784,,P50CA070907
11051228,,P50CA092629
11061609,,U10CA031946
11061884,,P50CA092629
11062132,,P50CA062924
11071672,,U10CA031946
11072172,,P50CA070907
11075857,,P50CA062924
11077442,,P50CA092629
11085536,,P50CA070907
11091920,,P50CA070907
11092980,,P50CA070907
11094089,,P50CA070907
11097232,,P50CA058223
11112665,,R21CA086248
11113097,,P50CA062924
11122134,,U24CA055727
11114313,,U10CA031946
11127945,,U01CA062505
11134207,,P50CA062924
11135160,,P50CA070907
11135558,,P50CA062924
11147228,,U10CA031946
11145738,,P50CA092629
11157416,,P50CA058223
11158605,200070284,U10CA031946
11159190,,P50CA062924
11161780,,P50CA070907
11170133,,P50CA092629
11171990,,R21CA086132
11172011,,P50CA092629
11175318,,P50CA070907
11180093,,U10CA031946
11189825,,P50CA058223
11196170,,P50CA070907
11212240,,P50CA092629
11221861,,P50CA062924
11226285,,P50CA062924
11226292,,P50CA062924
11231483,,P50CA092629
11231557,,R33CA212973
11237705,,R21CA094392
11245424,,P50CA062924
11245433,,P50CA070907
11248065,,P50CA062924
11248581,,P50CA058223
11251957,,U10CA031946
11273768,,P50CA070907
11273776,,P50CA070907
11280733,,P50CA062924
11283924,,U10CA031946
11289126,,U10CA031946
11291827,,U01CA062487
11296254,,P50CA062924
11297271,,P50CA062924
11301843,,U01CA062505
11303590,,P50CA058223
11304785,,U01CA062502
11309289,,P50CA070907
11309438,,U24CA055727
11309634,,P50CA062924
11313279,,U01CA062505
11313668,,U24CA076518
11313894,,P50CA070907
11313966,,P50CA092629
11314036,,P50CA070907
11319910,,P50CA092629
11319915,,P50CA092629
11321310,,R21CA086132
11325813,,P50CA058223
11325821,,P50CA062924
11325823,,P50CA070907
11325855,,P50CA062924
11331327,,U10CA031946
11331320,,U10CA031946
11331330,,U10CA031946
11331959,,P50CA092629
11333291,,P50CA070907
11337351,,P50CA062924
11342453,,U10CA031946
11342768,,P50CA062924
11342771,,P50CA062924
11342779,,P50CA092629
11349214,,P50CA070907
11353531,,R33CA086364
11354501,,R33CA086340
11355567,,R33CA088327
11355953,,U01CA069912
11358800,,P50CA092629
11368340,,U01CA062505
11360107,,U24CA076518
11369653,,U10CA031946
11371342,,P50CA062924
11381269,,P50CA062924
11385514,,R33CA088365
11387367,,U01CA069853
11389052,,P50CA062924
11389090,,P50CA070907
11390535,,P50CA062924
11390984,,P50CA070907
11390655,,P50CA058223
11399443,,P50CA058223
11401310,,U01CA062505
11403303,,R33CA086340
11410492,,U01CA062505
11415490,,P50CA058223
11410495,,U01CA062490
11420703,,R33CA083219
11425221,,R21CA086340
11429448,,R43CA094404
11431719,,P50CA062924
11432621,,U10CA031946
11432620,,U01CA069912
11432631,,U01CA069912
11432882,,U24CA055727
11444807,,R33CA083232
11457921,,R33CA103455
11458812,,U10CA031946
11459996,,U01CA062505
11464283,,P50CA092629
11459869,,P50CA070907
11464291,,P50CA070907
11466671,,U10CA031946
11468148,,U10CA031946
11470909,,R33CA088327
11476231,,R21CA086340
11479207,,P50CA070907
11479891,,P50CA070907
11488520,,U01CA062505
11494132,,P50CA070907
11489806,,U01CA062502
11489804,,U01CA070095
11520734,,R21CA086248
11521227,,P50CA092629
11504743,,U10CA031946
11524584,,P50CA062924
11526225,,P50CA070907
11533645,,R21CA086132
11555582,,U10CA031946
11551406,,U10CA031946
11559209,,U01CA062502
11559528,,P50CA062924
11555607,,P50CA070907
11560288,,P50CA058223
11569887,,U01CA062505
11571629,,P50CA092629
11572412,,U54CA118638
11578935,,R33CA089810
11581659,,P50CA062924
11585723,,P50CA062924
11592347,,U01CA069912
11592777,,P50CA062924
11585760,,U10CA031946
11593436,,P50CA070907
11595694,,U01CA070095
11595684,,U01CA062502
11597799,,P50CA092629
11598267,,P50CA062924
11600602,,U10CA031946
11605184,,P50CA070907
11668624,,P50CA062924
11679188,,U10CA031946
11678307,,P50CA058223
11691795,,P50CA062924
11687699,,R21CA088365
11691816,,P50CA070907
11693898,,U01CA062505
11696814,,P50CA092629
11696422,,P50CA062924
11704325,,P50CA092629
11698130,,U24CA076518
11705845,,U01CA062487
11707601,,U10CA031946
11705849,,U01CA062491
11709705,,P50CA092629
11717452,,P50CA070907
11719355,,U24CA076518
11718660,,P50CA058223
11721901,,R33CA089810
11720437,,P50CA070907
11728186,,R41CA081825
11731440,,P50CA062924
11724950,,P50CA062924
11733352,,P50CA062924
11738556,,R33CA088347
11740998,,U01CA062505
11746267,,P50CA092629
11751230,,R33CA083219
11754110,,P50CA062924
11750093,,R33CA088303
11751476,,P50CA062924
11756769,,P50CA062924
11761451,,U01CA062490
11764071,,P50CA062924
11765069,,P50CA070907
11786397,,P50CA062924
11777673,,P50CA058223
11786403,,P50CA062924
11790211,,U10CA031946
11795428,,P50CA070907
11801543,,U01CA062491
11815975,,U10CA031946
11821455,,U10CA031946
11821456,,U10CA031946
11812860,,R21CA086305
11821507,,P50CA062924
11821866,,R21CA081653
11830538,,P50CA062924
11826285,,P50CA070907
11832455,,R33CA088365
11839651,,U01CA062490
11839649,,P50CA070907
11838682,,R33CA086340
11844514,,P50CA062924
11839684,,R21CA088364
11848412,,R21CA083220
11848723,,U10CA031946
11848418,,R33CA083219
11850789,,P50CA070907
11854390,,U10CA031946
11861270,,U24CA076518
11854602,,P50CA070907
11857292,,R33CA088347
11872143,,R33CA083219
11878811,,R33CA089828
11867767,,P50CA062924
11863364,,P50CA070907
11872646,,R41CA083369
11857298,,U10CA031946
11880636,,P50CA062924
11890325,,P50CA062924
11895900,,U01CA069912
11896111,,U24CA055727
11896120,,U01CA069912
11891193,,P50CA062924
11894020,,U01CA062505
11919066,,P50CA058223
11911416,,U01CA069912
11901922,,P50CA070907
11904375,,P50CA070907
11920286,,P50CA062924
11912167,,P50CA062924
11921175,,P50CA058223
11921176,,P50CA058223
11920786,,U24CA055727
11921271,,U10CA031946
11939869,,U24CA055727
11921399,,R33CA088365
11923135,,U10CA031946
11929815,,P50CA058223
11943721,,P50CA062924
11932472,,P50CA062924
11943709,,P50CA062924
11950919,,P50CA062924
11959119,,R33CA088347
11945121,,R33CA088343
11960383,,P50CA070907
11951977,,R21CA086340
11971195,,P50CA070907
11962331,,R33CA088258
11960385,,P50CA062924
11990381,,U01CA069852
11980673,,P50CA070907
12000709,,P50CA062924
12003192,,U01CA062487
12009952,,R33CA088365
12011121,,U10CA031946
12006505,,U10CA031946
12011120,,U10CA031946
12011222,,U01CA062502
12023117,,R33CA086364
12036948,,P50CA092629
12012609,,P50CA070907
12056703,,U01CA076576
12038753,,R21CA086340
12064365,,U24CA076518
12067610,,R21CA083220
12067994,,P50CA070907
12074161,,P50CA070907
12075701,,P50CA070907
12083920,,R33CA086364
12085234,,P50CA070907
12082016,,P50CA062924
12086887,,P50CA070907
12082532,,P50CA070907
12082623,,P50CA070907
12088200,,U54CA118638
12090425,,P50CA062924
12097290,,P50CA062924
12094104,,P50CA058223
12093903,,R33CA088326
12105864,,P50CA062924
12093945,,U24CA055727
12111104,,U01CA069852
12101420,,P50CA070907
12107213,,U24CA055727
