dataset_source_id,old_title,new_title,use_new_title
phs000147,CGEMS Breast Cancer GWAS,Cancer Genetic Markers of Susceptibility (CGEMS) Breast Cancer Genome-wide Association Study (GWAS) - Primary Scan: Nurses' Health Study - Additional Cases: Nurses' Health Study 2,y
phs000178,The Cancer Genome Atlas (TCGA),National Institutes of Health The Cancer Genome Atlas (TCGA),y
phs000329,Evolution of Human BCR-ABL1 Lymphoblastic Leukemia-Initiating Cells,Functional and Genetic Characterization of BCR-ABL1 Acute Lymphoblastic Leukemia (ALL),y
phs000346,Cancer Genetic Markers of Susceptibility for Bladder Cancer (CGEMS Bladder),Genome-wide association study for Bladder Cancer Risk,y
phs000369,Sequence Analysis of Mutations and Translocations Across Breast Cancer Subtypes,Sequence Analysis of Mutations and Translocations Across Breast Cancer    Subtypes,n
phs000383,GWAS of Breast Cancer in the African Diaspora,Genome-Wide Association Study of Breast Cancer in the African Diaspora - the ROOT study,y
phs000384,Genentech Whole Genome Sequencing of Four Hepatocellular Carcinoma Patients,Genentech Whole Genome Sequencing of Four Hepatocellular Carcinoma    Patients,n
phs000419,A Novel Recurrent Mutation in MITF Predisposes to Familial and Sporadic Melanoma,A Novel Recurrent Mutation in MITF Predisposes to Familial and Sporadic    Melanoma,n
phs000450,Whole Exome Sequencing of Primary Mediastinal B-cell Lymphoma,Whole Exome Sequencing of Diffuse Large B-Cell Lymphoma,y
phs000480,Familial Breast Cancer Study (FBCS),Identification of Cancer Predisposition Genes in Breast Cancer Families,y
phs000487,Functionally Active Copy Number Variants Associated with Prostate Cancer Risk,Functionally Active Copy Number Variants Associated with Prostate Cancer    Risk,n
phs000505,Gene Fusion Discovery through RNA Sequencing of Human Glioblastoma Stem Cell Lines,Gene Fusion Discovery through RNA Sequencing of Human Glioblastoma Stem    Cell Lines,n
phs000517,Multiethnic Cohort (MEC) Breast Cancer Genetics,"GWAS in African Americans, Latinos and Japanese",y
phs000567,NAB2-STAT6 Gene Fusions in Solitary Fibrous Tumor by Integrative Sequencing,Identification of Recurrent NAB2-STAT6 Gene Fusions in Solitary Fibrous Tumor by Integrative Sequencing,y
phs000629,GWAS of Familial Lung Cancer,Genetic Epidemiology of Lung Cancer Consortium GWAS of Familial Lung Cancer,y
phs000634,NCI GWAS of Lung Cancer in Never Smokers,National Cancer Institute (NCI) Genome Wide Association Study (GWAS) of Lung Cancer in Never Smokers,y
phs000648,Pancreatic Cancer Case-Control Association Study,Pancreatic Cancer Case Control Association Study,y
phs000669,AMBER Consortium,The African American Breast Cancer Epidemiology and Risk (AMBER) Consortium Study,y
phs000720,Genomic sequencing of Pediatric Rhabdomyosarcoma,Genomic Sequencing of Pediatric Rhabdomyosarcoma,y
phs000729,Follicular Lymphoma 2013 - Malek,Solution-based exome capture and HiSeq2000-based massively parallel sequencing of Follicular Lymphoma,y
phs000733,ICPCG Genome Wide Association Study of Familial Prostate Cancer,The International Consortium for Prostate Cancer Genetics Genome Wide Association Study of Familial Prostate Cancer,y
phs000734,Osteosarcoma Genome-Wide Association Study,A Genome-Wide Association Study (GWAS) of Risk for Osteosarcoma,y
phs000748,Multiple Myeloma CoMMpass Study,Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profile,y
phs000759,Spectrum of Mutations in Myeloid Neoplasms,The spectrum of somatic mutations in high-risk acute myeloid leukemia with -7/del(7q),y
phs000768,Genomic Sequencing of Ewing's Sarcoma,Genomic sequencing of Ewing's Sarcoma,y
phs000773,CTLA4:CD28 in Sezary Syndrome,Personalized Treatment of Sezary Syndrome through a CTLA4:CD28 Fusion,y
phs000782,Post-Liver Transplant Recurrent Human Hepatocellular Carcinoma Study (RHCCS),Post-liver transplant recurrent human hepatocellular carcinoma study (RHCCS),y
phs000790,Comparative Analysis of Primary and Metastatic Colorectal Cancer,Comparative Sequence Analysis Between Primary and Metastatic Colorectal Cancer Lesions,y
phs000794,Longitudinal Genome-Wide Analysis of Patients with Chronic Lymphocytic Leukemia,"Longitudinal genome-wide analysis of progressive chronic lymphocytic leukemia under uniform front-line therapy of pentostatin, cyclophosphamide, and rituximab",y
phs000801,NCI Non-Hodgkin Lymphoma GWAS,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS),y
phs000802,NCI Non-Hodgkin Lymphoma GWAS: CLL,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS): Chronic Lymphocytic Leukemia (CLL),y
phs000813,Sequencing of Targeted Genomic Regions Associated with Smoking,"CIDR, NCI, NIDA Sequencing of Targeted Genomic Regions Associated with Smoking",y
phs000818,NCI Non-Hodgkin Lymphoma GWAS: Controls,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-Wide Association Study (GWAS): Controls,y
phs000826,Prediction of Trastuzumab Benefit in Adjuvant Breast Cancer: NSABP B31,Prediction of Trastuzumab Benefit in Adjuvant Breast Cancer: Gene Expression Profiling in NSABP B31,y
phs000828,Genomic Analysis of Hepatocellular Carcinoma,Genomic Analysis of Fibrolamellar Hepatocellular Carcinoma,y
phs000830,XPC and Non-XPC Cutaneous Squamous Cell Carcinoma Mutation Rate Study,"Xeroderma Pigmentosum, Complementation Group C, (XPC) and Non-XPC Cutaneous Squamous Cell Carcinoma (cSCC) Mutation Rate Study",y
phs000863,NCI GWAS of Renal Cell Carcinoma in African Americans,National Cancer Institute (NCI) Genome-Wide Association Study (GWAS) of Renal Cell Carcinoma in African Americans,y
phs000882,Prostate Cancer Genome-Wide Association Study for Uncommon Susceptibility Loci (PEGASUS),National Cancer Institute (NCI) Prostate Cancer Genome-Wide Association Study for Uncommon Susceptibility Loci (PEGASUS),y
phs000884,Gut Microbiome Profiles and Risk of Colorectal Cancer,"Gut microbiome profiles according to sex, body mass index and dietary fiber intake",y
phs000885,Strong Activation of Retroviral LTRs in HCC,CAGE Profiling of ncRNAs in Hepatocellular Carcinoma Reveals a Strong Activation of Retroviral LTR Promoters in Virus-Induced Tumors,y
phs000889,NCI Non-Hodgkin Lymphoma GWAS: DLBCL,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS): Diffuse Large B-Cell Lymphoma (DLBCL),y
phs000890,NCI Non-Hodgkin Lymphoma GWAS: FL,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS): Follicular Lymphoma (FL),y
phs000891,NCI Non-Hodgkin Lymphoma GWAS: MZL,National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS): Marginal Zone Lymphoma (MZL),y
phs000893,Genome-Wide Association Study of Endometrial Cancer in E2C2,Genome-Wide Association Study of Endometrial Cancer in the Epidemiology of Endometrial Cancer Consortium (E2C2),y
phs000900,Functionally-defined Therapeutic Targets in DIPG,Functionally-defined Therapeutic Targets in Diffuse Intrinsic Pontine Glioma (DIPG),y
phs000907,Brain Metastases in Squamous Cell Lung Cancers,Next Generation Sequencing of Stage IV Squamous Cell Lung Cancers Reveals an Association of PI3K Aberrations and Evidence of Clonal Heterogeneity in Patients with Brain Metastases,y
phs000913,Genomic Analysis of Mycosis Fungoides and Sezary Syndrome,Genomic Analysis of Mycosis Fungoides and Sezary Syndrome Identifies Recurrent Alterations in TNFR2,y
phs000915,Integrative Clinical Sequencing Analysis of Metastatic Castration Resistant Prostate Cancer Reveals a High Frequency of Clinical Actionability,Stand Up To Cancer East Coast Prostate Cancer Research Group,y
phs000932,Somatic Reference Standard for Cancer Sequencing,A Somatic Reference Standard for Cancer Genome Sequencing,y
phs000941,Phylogenetic Analyses Reveal Complex Patterns of Melanoma Metastasis,Phylogenetic Analyses of Melanoma Reveal Complex Patterns of Metastatic Dissemination,y
phs000942,Use of WGS for Diagnosis and Discovery in the Cancer Genetics Clinic,Use of Whole Genome Sequencing for Diagnosis and Discovery in the Cancer Genetics Clinic,y
phs000950,NCI SEER Formalin Fixed Paraffin Embedded (FFPE) Tissue Feasibility Study,"Surveillance, Epidemiology and End Results (SEER) Formalin Fixed Paraffin Embedded (FFPE) Tissue Feasibility Study",y
phs000975,Nurses' Health Study (NHS),The Nurses' Health Study (NHS) GWAS of Mammographic Density,y
phs000978,WGS of a Malignant GCT with Metabolic Response to Pazopanib,Whole-Genome Sequencing (WGS) of a Malignant Granular Cell Tumor (GCT) with Metabolic Response to Pazopanib,y
phs000980,PD-1 Blockade in Non-Small Cell Lung Cancer,Mutational Landscape Determines Sensitivity to PD-1 Blockade in Non-Small Cell Lung Cancer,y
phs000994,The Mutational Landscape of CTCL and Sezary Syndrome.,The Mutational Landscape of CTCL and Sezary Syndrome,y
