type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_storage_distribution
dataset	a8d778d0-d8f1-5c1e-aa2e-ee48d02f53ff	CRDC	Lung Cancer Genetic Study Among Asian Never Smokers	<p><b>The Lung Cancer Genetic Study Among Asian Never Smokers</b> includes data from four population-based studies conducted among Asian women: the Shanghai Women's Health Study (SWHS), the Hwasun Cancer Epidemiology Study (HCES1 and HCES2), the Female Lung Cancer Consortium in Asia (FLCCA, including sFLCA), and the Guangzhou Lung Cancer Study (GLCS).</p><p> </p><div> </div><div> <b>Shanghai Women's Health Study (SWHS)</b>: The SWHS is a population-based prospective cohort study of approximately 75,000 adult women who were recruited between 1997 and 2000. The cohort has been followed by a combination of record linkage and active follow-ups. Lung cancer patients identified in the SWHS and non-cases were included in the current study.</div><div><b><br></b></div><div><b>Hwasun Cancer Epidemiology Study-Lung Cancer (HCES1 and HCES2)</b>: The HCES is a hospital-based case-control study whose goal is to identify factors of the cancer development and clinical progression in a Korean population. Included in this project were 299 female lung cancer cases from HCES2, who were diagnosed between April 2004 and February 2013 at Chonnam National University Hwasun Hospital, a cancer specified hospital in Jeollanam-do province, South Korea. Controls were randomly selected from women with no previous cancer diagnosis at enrollment in the Namwon Study and the Dong-gu study, ongoing community-based cohort studies in South Korea. A total of 1,103 controls (273 from HCES1 and 830 from HCES2) were genotyped by MEGA.</div><br><div> <b>Guangzhou Lung Cancer Study (GLCS)</b>: The GLCS is a case-control study including never-smoking women lung cancer cases and controls from Guangzhou, China.</div><br><div>In this study, the DNA samples of 1,195 subjects from SWHS and GLCS were genotyped using whole exome sequencing (WES), and the DNA samples of 7,174 subjects from SWHS, HCES1, HCES2, FLCCA, and sFLCA were genotyped using the Multi-Ethnic Global Array (MEGA).</div><div> </div><div> </div><div> </div><div> </div><p></p>	phs002366	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002366	Qiuyin Cai, MD, PhD				U01CA161045	8/13/2024	HMB-PUB-NPU;HMB-PUB;GRU-NPU;DS-LC	WXS;Seq_DNA_SNP_CNV;Array_SNP	Case-Control;Cohort	Lung Cancer	8310	8369				Lung Tumor;Lung cancer;Lung neoplasm;Lung tumour;Neoplasm of Lung;Neoplasm of the Lung	Cancer Research Data Commons (CRDC)
dataset	17a8b1f6-f452-57de-863f-14bd3dcfeb3c	CRDC	The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare Variation	<p>In this study, we will apply a multi-staged approach to reveal genes harboring rare variants that are associated with aggressive PCa. Whole-exome sequencing (Aim 1a) of 2,774 aggressive cases and 2,776 non-aggressive cases of European ancestry will be conducted followed by rare variant analysis of single sites and gene burden testing to identify novel susceptibility loci/genes for aggressive disease. We will validate the most significantly associated genes (~500) through targeted sequencing in an additional 6,415 aggressive and 5,586 non-aggressive cases and 1,890 controls (Aim 1b). Next, we will investigate the clinical predictive utility of the genes/variants identified in 2,291 cases in the STHM3 trial who are undergoing biopsy based on PSA and genetic risk score stratification (Aim 2). Through this tiered approach we expect to significantly advance knowledge of aggressive PCa etiology and health disparities as well as guide the development of early detection and prognostic strategies for the subset of men who are most susceptible to this fatal form of disease. In this case-case study of aggressive vs non aggressive prostate cancer, aggressive cases are defined as prostate cancer as cause of death, (T4 disease or T3 disease) and Gleason 8+. Non-aggressive cases are men with T1/2 disease and Gleason <=6. In Aim 2, a clinically important disease is defined as a case with Gleason 7+. Clinically non-important disease is defined as Gleason <=6.</p> <p><b>ACKNOWLEDGMENTS and CONTRIBUTING SITES </b><br></p><ul><li>CAPS, PROCAP, STHM1, STHM2: Swedish Cancer Society (CAN 2016/818), Swedish Research Council (2014/2269).</li><li>STHM3: Stockholm County Council (Stockholms L&#228;ns Landsting).</li><li>MEC: Funding provided by the National Cancer Institute: Understanding Ethnic Differences in Cancer, 2U01CA164973 and The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare Variation, 5R01CA196931-02.<br></li><li>ATBC: The ATBC Study is supported by the Intramural Research Program of the U.S. National Cancer Institute, National Institutes of Health, and by U.S. Public Health Service contract HHSN261201500005C from the National Cancer Institute, Department of Health and Human Services.<br></li><li>COSM: The Swedish Research Council/National Research Infrastructure Grant (VR 2014/6397; VR 2015/5997) The Swedish Cancer Foundation (CAN 2013/456; CAN 2016/727)<br></li><li>CPSII: The authors express sincere appreciation to all Cancer Prevention Study II participants and to each member of the study and biospecimen management group. The American Cancer Society funds the creation, maintenance, and updating of the Cancer Prevention Study-II cohort.<br></li><li>MCCS/APCS/PCFS: The Melbourne Collaborative Cohort Study (MCCS) recruitment was funded by VicHealth and Cancer Council Victoria and further supported by Australian National Health and Medical Research Council (NHMRC) grants 209057 and 396414. The Aggressive Prostate Cancer Case-Control Study (APCS) was funded by NHMRC grant 623204. The Prostate Cancer Family Study (PCFS) was fully funded by Cancer Council Victoria. Cancer Council Victoria funds the continuing maintenance and updating of the MCCS, APCS and PCFS. Cases and their vital status are ascertained and followed up through the Victorian Cancer Registry and the Australian Institute of Health and Welfare, including the National Death Index and the Australian Cancer Database.<br></li><li>PLCO: The Prostate Lung Colorectal Ovarian Cancer Screening Trial (PLCO) was supported by the Intramural Research Program of the Division of Cancer Epidemiology and Genetics and by contracts from the Division of Cancer Prevention, National Cancer Institute, US National Institutes of Health, Department of Health and Human Services. <br></li><li>EPIC: The coordination of EPIC is financially supported by International Agency for Research on Cancer (IARC) and also by the Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London which has additional infrastructure support provided by the NIHR Imperial Biomedical Research Centre (BRC). <br></li><li>The national cohorts are supported by: Danish Cancer Society (Denmark); Ligue Contre le Cancer, Institut Gustave Roussy, Mutuelle Ge&#769;ne&#769;rale de l'Education Nationale, Institut National de la Sante&#769; et de la Recherche Me&#769;dicale (INSERM) (France); German Cancer Aid, German Cancer Research Center (DKFZ), German Institute of Human Nutrition Potsdam- Rehbruecke (DIfE), Federal Ministry of Education and Research (BMBF) (Germany); Associazione Italiana per la Ricerca sul Cancro-AIRC-Italy, Compagnia di SanPaolo and National Research Council (Italy); Dutch Ministry of Public Health, Welfare and Sports (VWS), Netherlands Cancer Registry (NKR), LK Research Funds, Dutch Prevention Funds, Dutch ZON (Zorg Onderzoek Nederland), World Cancer Research Fund (WCRF), Statistics Netherlands (The Netherlands); Health Research Fund (FIS) - Instituto de Salud Carlos III (ISCIII), Regional Governments of Andaluci&#769;a, Asturias, Basque Country, Murcia and Navarra, and the Catalan Institute of Oncology - ICO (Spain); Swedish Cancer Society, Swedish Research Council and County Councils of Ska&#778;ne and Va&#776;sterbotten (Sweden); Cancer Research UK (14136 to EPIC-Norfolk; C8221/A19170 and C8221/A29017 to EPIC-Oxford), Medical Research Council (1000143 to EPIC-Norfolk; MR/M012190/1 to EPIC-Oxford). (United Kingdom). </li><li>DFCI: Linda and Arthur Gelb and Rebecca and Nathan Milikowsky. </li><li>HPFS and PHS: The Health Professionals Follow-up Study was supported by U01 167552 and P01 CA228696 from the National Cancer Institute, and with support from the Prostate Cancer Foundation. The Physicians' Health Study was supported by grants CA34944, CA40360, CA097193, HL26490 and HL34595.<br></li><li>Northwestern: P50CA180995 (Catalona) 08/01/15 &#8211; 07/31/20 NIH/NCI SPORE in Prostate Cancer; The Urological Research Foundation<br></li><li>PROMPT: MRC UK - Project reference G0500966, Cambridge BRC infrastructure funding, Cambridge Biomedical Research Campus (BRC-1215-20014), CRUK Cambridge Cancer Centre infrastructure funding (they are requesting this statement is written in blue for publications).<br></li><li>ICR: This work was supported by the NIH R01 grant 5R01CA196931-02. The samples from the UK were from UKGPCS and PrompT. The UKGPCS study was supported by Cancer Research UK (grant numbers C5047/A7357, C1287/A10118, C1287/A5260, C5047/A3354, C5047/A10692, C16913/A6135 and C16913/A6835). We would like to acknowledge the NCRN nurses and Consultants for their work in the UKGPCS study. We thank all the patients who took part in this study. We also acknowledge The Institute of Cancer Research, The National Cancer Research Network UK, The National Cancer Research Institute (NCRI) UK for their ongoing support. We are grateful for support of NIHR funding to the NIHR Biomedical Research Centre at The Institute of Cancer Research and The Royal Marsden NHS Foundation Trust.<br></li></ul><p><b>Funding</b>:<br></p><p>CIDR grant X01HG008336 </p>	phs001524	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001524	Christopher Haiman			32853339	5R01CA196931-02;HHSN268201200008I, NIH contract 'High throughput genotyping for studying the genetic contributions to human disease';HHSN26800080, NIH contract 'High throughput genotyping for studying the genetic contributions to human disease'	8/12/2024	DS-PC;HMB-PUB;DS-CA-NPU-GSO;DS-CA-PUB;GRU;DS-PC-NPU-MDS;MHNSI-MDS;NRUP;DS-PC-MDS;CADM	WXS;Targeted-Capture;Seq_DNA_SNP_CNV	Case Set	Prostate Cancer	21789	21898				NGP - New growth of prostate;Neoplasm of Prostate;Neoplasm of the Prostate;Neoplasm, Prostate;Neoplasm, Prostatic;Neoplasms, Prostate	Cancer Research Data Commons (CRDC)
dataset	7f035879-c86d-572b-9f32-f735fe5d0bdd	CRDC	Childhood Cancer Data Initiative (CCDI): Single-Cell Atlas of NF1 Nerve Sheath Tumors	<p>The worst outcome of NF1 is the development of the aggressive and highly metastatic malignant peripheral nerve sheath tumors (MPNST), which transform from benign plexiform neurofibroma (PN) and lack effective treatment. In this study, we performed single-cell RNA sequencing of 63 clinically annotated NF1-associated peripheral nerve sheath tumors, including 24 PN, 34 premalignant atypical neurofibromas, and 5 MPNSTs. These results improve the ability of identifying high-risk neurofibromas and provide a unique opportunity for early detection of MPNST. </p>	phs003519	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003519	Jack Shern	Freddie Pruitt	Center for Cancer Genomics (CCG)	36134665;37167059;36130486;34010628		7/22/2024	GRU		Longitudinal	Pediatric Cancer	29	55		NF1;CDKN2A;CDKN2B;SUZ12;EED;TP53	Neoplasms;Pediatrics;Natural History;Neurofibromatosis 1;Neurofibroma, Plexiform;Neurofibrosarcoma	Neurofibromatosis 1;Rare Disease;Blastoma;CA;CA - Cancer;Cancer	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	91794101-3d50-55c1-8c2d-17ca43c1df1d	CRDC	Childhood Cancer Data Initiative (CCDI): Molecular Characterization across Pediatric Brain Tumors and Other Solid and Hematologic Malignancies for Research, Diagnostic, and Precision Medicine	<p>This study contains tumor and germline WGS, RNA-Seq, Clinical Panel Sequencing, and other omics and molecular data for patients with pediatric brain tumors and other solid and hematologic malignancies. This data has been collected from multiple organizations including the multi-institute <a href='https://cbtn.org/' target='_blank'>Children's Brain Tumor Network</a> (CBTN), the <a href='https://pnoc.us/' target='_blank'>Pacific Pediatric Neuro-Oncology Consortium</a> (PNOC), and the <a href='https://www.chop.edu/centers-programs/division-genomic-diagnostics' target='_blank'>Children's Hospital of Philadelphia Division for Genomic Diagnostics</a> (CHOP DGD). </p><p>In addition to being available pre-publication and without embargo via dbGaP and the <a href='https://datacommons.cancer.gov' target='_blank' style='font-family: sans-serif; background-color: rgb(255, 255, 255);'>NCI Cancer Research Data Commons</a>, this data is made available via <a href='https://www.cavatica.org/' target='_blank'>Cavatica</a>, <a href='https://pedcbioportal.org/' target='_blank'>PedcBioPortal</a> and the <a href='https://kidsfirstdrc.org/' target='_blank'>Kids First Data Resource Portal</a>. Collectively, this availability strives to accelerate the research process and enable members of the scientific and patient communities to partner and make discoveries faster than ever before.</p><p></p><div>In 2019, the CBTN launched the <a href='https://cbtn.org/pediatric-brain-tumor-atlas' target='_blank'>Pediatric Brain Tumor Atlas</a>, which now comprises the largest collection of childhood brain tumor data in the world. This resource is helping accelerate not only brain tumor research, but is also empowering discovery for other rare childhood conditions. Brain tumors are the most common form of cancer in children aged 0-19 in the United States, and are the largest cause of cancer-related deaths. The estimated number of new cases in 2019 is nearly 3,800, and thus brain tumors are a rare disease. Despite their relative rarity, the years of potential life lost due to brain tumors in 2009 was estimated at 47,631 years for children and adolescents aged 0-19 in the United States; this is a disproportionate amount of life lost compared to adult cancers and represents an unrecognized societal threat. There is an urgent need to improve therapies for these children. This sequencing cohort defines the largest, clinically annotated pediatric brain tumor cohort study to date and seeks to define the intersection of germline and somatic underpinnings of pediatric brain tumors across a shared developmental context of cancer and structural birth defects.</div><p></p>	phs002517	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002517	Adam C. Resnick, PhD;Allison Heath, PhD	Joseph Flores-Toro	Office of Data Sharing (ODS)			7/22/2024	GRU	WGS;RNA-Seq;miRNA-Seq;WXS;Targeted-Capture	Clinical Cohort;Clinical Genetic Testing;Clinical Trial;Copy Number Variation (CNV);Exome Sequencing;Genotype/Expression;Individual-Level Genomic Data;Longitudinal;Longitudinal Cohort;Multicenter;Observational;Parent-Offspring;Parent-Offspring Trios;Probands;Prospective;RNA Sequencing;Sequencing;Tissue Expression;Tumor;Tumor vs. Matched-Normal;Whole Genome Sequencing	Pediatric Cancer	3937	8972	https://www.cbtn.org;https://pnoc.us/;https://www.chop.edu/centers-programs/division-genomic-diagnostics;https://portal.kidsfirstdrc.org;https://pedcbioportal.kidsfirstdrc.org/		Neoplasms;Pediatrics;Whole Genome Sequencing;RNA-Seq	Brain Tumor;Brain Tumors;Brain neoplasm;Brain tumour;Neoplasm of Brain;Neoplasm of the Brain	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	ab139112-99ce-59d1-96a6-412866d5f0f0	CRDC	Childhood Cancer Data Initiative (CCDI): Molecular Characterization Initiative	<p>The National Cancer Institute's (NCI) Childhood Cancer Data Initiative (CCDI) focuses on the critical need to collect, analyze, and share data to address the burden of cancer in children, adolescents, and young adults (AYAs). The Molecular Characterization Initiative (MCI) will further the CCDI's goals by providing access to better diagnostic tests for pediatric and AYA patients. The molecular characterizations of solid tumors, soft tissue sarcomas, and rare diseases are performed in a CLIA-certified setting as results may be used to screen for and/or confirm clinical trial eligibility, direct treatment, or otherwise contribute to the conduct of the trial. The following molecular characterization assays were performed:</p><ul><li>Tumor/Normal Whole Exome sequencing </li><li>Methylation arrays</li><li>Archer fusion panel </li><li>Deidentified clinical reports</li></ul><p>Note: New data will be added periodically, please check the <a href='https://ccdi.cancer.gov/explore' target='_blank'>CCDI Hub Explore</a> site for updates.</p>	phs002790	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002790	Malcolm Smith, MD, PhD			37267580		7/10/2024	GRU	WXS;OTHER	Aggregate Genomic Data;Clinical Diagnostic Testing;Exome Sequencing;Individual-Level Genomic Data;Transcriptome Analysis;Tumor vs. Matched-Normal	Pediatric Cancer	3014	8485	https://www.cancer.gov/research/areas/childhood/childhood-cancer-data-initiative/data-ecosystem/molecular-characterization		Childhood;Pediatric;Central Nervous System (SNS);Soft Tissue Sarcomas (STS);Rare cancers	Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	aa680e51-fe04-5d69-9454-15ebc0f77680	CRDC	Cancer Moonshot Biobank	<p>The National Cancer Institute initiated the Cancer Moonshot Biobank to accelerate research through the collection and distribution of biospecimens for key research efforts. The Biobank will engage with over one thousand cancer patients, being treated with standard-of-care therapies, for longitudinal biospecimen and data collection. Cancer patients will be enrolled into the study from a diverse participant population engaged at medical institutions throughout the U.S. The biospecimens will be distributed to qualified scientists to accelerate research progress. The Biobank program, working closely with Leidos Biomedical, Inc. (LBR), will partner with community hospitals and other medical institutions, designated as Biospecimen Source Sites (BSS), to engage and consent eligible participants and collect biospecimens and associated clinical data; work with a central Biospecimen Core Resource (BCR) to support biospecimen collection, processing and storage activities and perform pathology quality control; work with LBR's Molecular Characterization (MoCha) lab to perform clinical tumor molecular characterization assays and return results to patients and their physicians; and make the biospecimens and associated data available to researchers to accelerate cancer research progress. Return of clinical results, a dedicated Patient and Provider Engagement (PPE) website, electronic informed consent, local participant engagement projects, and an embedded ethical, legal and social issues sub-study will together support patient and provider engagement in the program.</p> <p>Cancer Moonshot Biobank imaging data is being made available in The Cancer Imaging Archive (TCIA) on a release schedule that is coordinated with the program releases of data to dbGaP. The imaging data can be found at the following link: <a href='https://www.cancerimagingarchive.net/research/cmb/' target='_blank'>Cancer Moonshot Biobank Imaging</a></p>	phs002192	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002192	Helen Moore, PhD					7/3/2024	GRU	Seq_DNA_SNP_CNV	Longitudinal	Multiple Cancer Types	248	1140	https://moonshotbiobank.cancer.gov/	SLAMF7;CD274;VEGFA;ROS1;PDCD1;ERBB2;EGFR;CTLA-4;BRAF;ALK;Androgen R;PMSD4	Colorectal Neoplasms;Lung Neoplasms;Prostatic Neoplasms;Gastric and Esophageal Neoplasms;Melanoma;Multiple Myeloma	Lung Neoplasms;CRC;Cancer of Large Bowel;Cancer of Large Intestine;Cancer of the Large Bowel;Cancer of the Large Intestine	Cancer Research Data Commons (CRDC)
dataset	d3b4c0be-3d76-5091-b9b8-0745c5411485	CRDC	Correlative Studies for Protocol #14-C-0059: T Cells Expressing an Anti-GD2 Chimeric Antigen Receptor in Patients with GD2+ Solid Tumors, a Collaboration with CIMAC-CIDC	<p>This study is a retrospective correlative analysis of immune cell phenotypes in samples from a Phase I clinical trial (<a href='https://clinicaltrials.gov/study/NCT02107963?term=NCT02107963' target='_blank'>NCT02107963</a>) of GD2 CAR-T cells (GD2-CAR.OX40.28.z.iC9) in children and young adults with osteosarcoma and neuroblastoma. The study was a 3+3 dose-escalation study with four dose levels (1 x 10(5) transduced T cells/kg; 1 x 10<sup>6</sup> transduced T cells/kg; 3 x 10<sup>6</sup> transduced T cells/kg; and 1 x 10<sup>7</sup> transduced T cells/kg). Apheresis and final manufactured GD2 CAR-T product samples were analyzed by bulk RNA sequencing and ATAC sequencing. The patients were stratified into good CAR-T expanders (peak CAR-T expansion >1000 GD2 CAR copies/100ng DNA) and poor CAR-T expansion (peak CAR-T expansion <1000 GD2 CAR copies/100ng DNA). The principal findings of the study are: </p><ul><li>Increased na&#239;ve T cell subsets in baseline apheresis are associated with patients who experienced good CAR T cell expansion </li><li>A T cell exhaustion signature was observed in the manufactured GD2 CAR-T product and may have contributed to lack of efficacy observed in this trial </li><li>Increased myeloid-derived suppressor cell (MDSC) signatures were observed in patients with poor CAR-T expansion </li><li>CAR-T product in good expanders displayed increased AP-1 factor transcription factor motifs, such as <a href='https://www.ncbi.nlm.nih.gov/gene/10538' target='_blank'>BATF</a>, <a href='https://www.ncbi.nlm.nih.gov/gene/3725' target='_blank'>JUN</a>, and <a href='https://www.ncbi.nlm.nih.gov/gene/2353' target='_blank'>FOS</a> </li></ul><p> Data provided in dbGaP for this study include: </p><ul><li>Bulk RNA-Seq data for 11 pre-treatment peripheral blood and 11 GD2 CAR-T product from 14 patients. </li><li>ATAC sequencing of 22 peripheral blood samples and 5 GD2 CAR-T products from 14 patients. </li></ul>	phs003455	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003455	Rosandra Kaplan;Sneha Ramakrishna					6/28/2024	GRU-PUB-COL		Clinical Cohort;Clinical Trial;Marker Discovery;RNA Sequencing;Transcriptome Analysis	Soft Tissue Tumors and Sarcomas	15	103	https://clinicaltrials.gov/study/NCT02107963;https://cdp.cancer.gov/scientific_programs/cimac-cidc.htm		Neuroblastoma;Neoplasms	Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies	Cancer Research Data Commons (CRDC)
dataset	54baee8b-e082-5d5c-9437-07a1fd02dd0f	CRDC	Childhood Cancer Data Initiative (CCDI): Identification and Targeting of Treatment Resistant Progenitor Populations in T-cell Acute Lymphoblastic Leukemia	<p>Our goal with this study was to identify the mechanisms of treatment resistance in T-cell acute lymphoblastic leukemia (ALL) using single-cell genomics. We profiled 40 T-ALL cases from the Children's Oncology Group AALL0434 clinical trial using CITE-seq/snATAC-seq, capturing a breadth of immunophenotypes, including early T-cell precursor (ETP) and near-ETP/non-ETP subtypes. By integrating analyses of T-ALL cells with the normal T-cell developmental trajectory, the study identified a specific subgroup of leukemia cells resembling bone marrow progenitors (BMP-like cells). These BMP-like cells were associated with treatment failure and poor overall survival in T-ALL patients. Overall, this study reveals comprehensive multiomic signatures for rapidly assessing risk and tailoring targeted treatment for high-risk T-ALL patients. </p>	phs003432	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003432	David T. Teachey, MD;Kai Tan, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)	32813610		6/12/2024	GRU	RNA-Seq;ATAC-seq	Single Cell Analysis	Pediatric Cancer	43	43		S100A4;LGALS1;FAM30A;IGLL1;MEF2C;CTSW;PRDX1;HCST;HSH2D;KLF2;VAMP8;HOPX;CYBA;MT-ND3;ENO1;PEBP1;CD44	Neoplasms;Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma;Blastoma;CA;CA - Cancer;Cancer;MT	Cancer Research Data Commons (CRDC)
dataset	6158661c-5095-55b1-84df-6b2beb1cb616	CRDC	Human Tumor Atlas Network (HTAN)	<p>An NCI-funded Cancer Moonshot initiative to construct 3-dimensional atlases of the dynamic cellular, morphological, and molecular features of human cancers as they evolve from precancerous lesions to advanced disease.</p>	phs002371	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002371	Peter Sorger;Jon Aster;Sandro Santagata;Michael P. Snyder;James Ford;William Greenleaf;Jeremy Goecks;Gordon Mills;George Thomas;Ken S. Lau;Robert Coffey;Martha Shrubsole;Avrum Spira;Steven Dubinett;Kai Tan;Stephen Hunger;Bruce Johnson;Eun-sil (Shelley) Hwang;Carlo Maley;Robert West;Nir Hacohen;Dana Pe'er;Christine Iacobuzio-Donahue;Christopher Amos;Olivier Harismendy;Li Ding;Ryan Fields;William Gillanders;Samuel Achilefu	Sean Hanlon	Center for Strategic Scientific Initiatives (CSSI)			5/22/2024	GRU		Clinical Diagnostic Testing;Clinical Genetic Testing;Exome Sequencing;GWAS;Individual-Level Genomic Data;Longitudinal;Metastasis;Methylation Sequencing;Multicenter;RNA Sequencing;Sequencing;Single Cell Analysis;Tissue Expression;Transcriptome Analysis;Transcriptome Sequencing;Tumor;Whole Genome Sequencing	Multiple Cancer Types	1547	4615			Breast Neoplasms;Lung Neoplasms;Colorectal Neoplasms;Adenomatous Polyposis Coli;Brain Neoplasms;Pancreatic Neoplasms;Skin Neoplasms;Prostatic Neoplasms	Adenomatous Polyposis Coli;Lung Neoplasms;Skin Neoplasms;ADENOMATOUS POLYPOSIS OF THE COLON;APC;APC - Adenomatous Polyposis Coli	Cancer Research Data Commons (CRDC)
dataset	8993b3e9-015d-5a69-b901-b56b49b92e63	CRDC	Childhood Cancer Data Initiative (CCDI): CCDI Pediatric In Vivo Testing Program - Leukemia	<p>The goal of this study is to molecularly characterize a large panel of pediatric acute lymphoblastic leukemia (ALL) patient-derived xenografts (PDXs) previously established in immune-deficient mice. These PDXs are utilized as part of the NCI-funded Pediatric Preclinical In vivo Testing (PIVOT) program to identify novel agents and combinations. Biospecimen data include next-generation sequencing (RNAseq, whole exome sequencing, DNA copy number variation), whole-genome analysis of cytogenetic abnormalities, and DNA fingerprint for quality control. </p>	phs003164	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003164	Richard B. Lock, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)		NCI CA199000;NHMRC APP1157871	5/21/2024	GRU		Copy Number Variation (CNV);Exome Sequencing;Repository;RNA Sequencing;Xenograft	Pediatric Cancer	40	126	https://preclinicalpivot.org/about-pivot/		Neoplasms;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Leukemia, Biphenotypic, Acute;Heterografts	Leukemia, Biphenotypic, Acute;Precursor Cell Lymphoblastic Leukemia-Lymphoma;ALL with myeloid markers;AML with lymphoid markers;Acute Biphenotypic Leukemia;Acute Biphenotypic Leukemias	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
